candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00080,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000361_770642981.xml,361,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,0.9500,Y,ADM-1.10,HR consultancy service; not wages/payroll; client hint confirms ADM-1.10 for this provider/item.
OQ-00275,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 .,Banco de Chile,Banco Comercial,COMPRAS,DTE_033_000045755277_970040005.xml,45755277,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES - COMISION MENSUAL ADMINISTRACION CONVENIO]R,0.8000,Y,ADM-1.7,Bank commission for payroll admin service; rule: 'administracion del servicio' is NOT wages.
OQ-00586,Comisión por Nóminas en Línea CCA,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003475877_97080000K.xml,3475877,,0.1500,Y,ADM-1.7,"Bank fee for payroll processing service; not wages, not legal advisory."
OQ-00605,Comisión por Pagos de Nominas,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003367877_97080000K.xml,3367877,,0.1500,Y,ADM-1.7,"Bank fee for payroll payment processing; not wages, not legal advisory."
OQ-00609,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000342_770642981.xml,342,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00610,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000374_770642981.xml,374,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00612,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS ENERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000405_770642981.xml,405,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS ENERO,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00613,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS JULIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000355_770642981.xml,355,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS JULIO,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00614,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000397_770642981.xml,397,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00615,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000336_770642981.xml,336,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,0.1500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00616,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000325_770642981.xml,325,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,0.8500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00617,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000332_770642981.xml,332,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL,0.8500,Y,ADM-1.7,External OHS/HR consulting service fee; not wages; other admin expense.
OQ-00618,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JUNIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000343_770642981.xml,343,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JUNIO,0.8500,Y,ADM-1.7,OHS risk prevention consulting service; not wages; other admin expense.
OQ-00626,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ENERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000406_770642981.xml,406,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ENERO,0.1500,Y,ADM-1.10,2step_review
OQ-00628,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000389_770642981.xml,389,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,0.2500,Y,ADM-1.10,2step_review
