candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00116,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000342_770642981.xml,342,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,0.9500,Y,ADM-1.10,HR consultancy service matches client hint example for ADM-1.10; not wages/payroll.
OQ-00117,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000361_770642981.xml,361,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,0.9500,Y,ADM-1.10,HR consultancy service matches client hint example for ADM-1.10; not wages/payroll.
OQ-00118,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000413_770642981.xml,413,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO,0.9500,Y,ADM-1.10,HR consultancy service matches client hint example for ADM-1.10; not wages/payroll.
OQ-00120,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000332_770642981.xml,332,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL,0.9500,Y,ADM-1.10,"HR consultancy service, not wages or training"
OQ-00121,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000389_770642981.xml,389,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,0.9500,Y,ADM-1.10,HR consultancy service by safety/health professional firm
OQ-00126,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000397_770642981.xml,397,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00127,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS JULIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000355_770642981.xml,355,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS JULIO,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00128,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000336_770642981.xml,336,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00129,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS ENERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000405_770642981.xml,405,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS ENERO,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00130,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000374_770642981.xml,374,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00132,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000325_770642981.xml,325,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,0.9500,Y,ADM-1.10,"HR consultancy service, professional fee not wages"
OQ-00133,SERVICIOS EXTERNOS COMPUTACIONALES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005180185_823926006.xml,5180185,BATERIA HP ORIGINAL,0.6500,Y,ADM-1.10,Computational services match ADM-1.10 (software/external IT); sibling battery supports IT context
