candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00236,PRESUPUESTO N° 2287/2024,"SUMINISTRO Y MONTAJE CANALIZACIONES Y CABLEADO TABLERO DE TRANSFERENCIA GENERADOR OFICINAS , FUNDO EL MAITEN",ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUSTRIALES.,Instalaciones Electricas,COMPRAS,DTE_033_000000001040_764295218.xml,1040,PRESUPUESTO N° 2287/2024 - SUMINISTRO Y MONTAJE CANALIZACIONES Y CABLEADO TABLERO DE TRANSFERENCIA G,0.9500,Y,EXP-14.4,Electrical installation for office generator transfer switch at farm; fits EXP-14.4 instalaciones.
OQ-00237,PRESUPUESTO N°2318/2025,"SUMINISTRO Y MONTAJE ALUMBRADO Y ENCHUFE OFICINA Y BODEGA TERNERERA, FUNDO YUTRECO",ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUSTRIALES.,Instalaciones Electricas,COMPRAS,DTE_033_000000001067_764295218.xml,1067,"PRESUPUESTO N°2318/2025 - SUMINISTRO Y MONTAJE ALUMBRADO Y ENCHUFE OFICINA Y BODEGA TERNERERA, FUNDO",0.9500,Y,EXP-14.4,Electrical supply/install for office and bodega ternerera; building work not office lease.
OQ-00238,CONFECCION DE MUEBLES,PARA OFICINA DE COLOR BLANCO / 8 PUERTAS CON CERRADURA,MARIO DANIEL RODRIGUEZ ASENCIO,OBRAS MENORES EN CONSTRUCC GASFITERIA E INSTALACION ESTRUCT METALICAS,COMPRAS,DTE_033_000000000352_114279234.xml,352,CONFECCION DE MUEBLES - PARA OFICINA DE COLOR BLANCO / 8 PUERTAS CON CERRADURA,0.9500,Y,ADM-1.6,Office furniture purchase fits office supplies/expenses; not a lease/rental payment.
OQ-00239,LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 2,LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 25,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053325198_97036000K.xml,53325198,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 2 - LEASING 614747 OCTUBRE 2025 CUOTA 4 DE 25,0.9500,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00240,LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 3,LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 37,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053387058_97036000K.xml,53387058,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 3 - LEASING 614266 OCTUBRE 2025 CUOTA 5 DE 37,0.9500,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00241,LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE,LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE 25,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053670178_97036000K.xml,53670178,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE - LEASING 614747 NOVIEMBRE 2025 CUOTA 5 DE 25,0.9800,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00242,LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE,LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE 25,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053999128_97036000K.xml,53999128,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE - LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE 25,0.9800,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00243,LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 D,LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 DE 25,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000052973725_97036000K.xml,52973725,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 D - LEASING 614747 SEPTIEMBRE 2025 CUOTA 3 DE 25,0.9800,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00244,LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE,LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE 37,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053722489_97036000K.xml,53722489,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE - LEASING 614266 NOVIEMBRE 2025 CUOTA 6 DE 37,0.9800,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
OQ-00245,LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 D,LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 DE 37,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053049578_97036000K.xml,53049578,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 D - LEASING 614266 SEPTIEMBRE 2025 CUOTA 4 DE 37,0.9800,Y,REJECT,Bank leasing payment; asset type unknown; cannot distinguish ADM-1.3 vs EXP-15.4.
