candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00233,Silla oficina Aluminium Media Caramel,Silla oficina Aluminium Media Caramel,EDGE SpA,"Transp. de Carga, Com. y Exp. de muebles y lámparas.",COMPRAS,DTE_033_000000157970_760673269.xml,157970,Silla oficina Aluminium Media Caramel - Silla oficina Aluminium Media Caramel; Despacho - Despacho,0.7500,Y,ADM-1.6,Office chair purchase; ADM-1.6 covers office supplies and expenses including furniture.
OQ-00234,CONSTRUCCION DE MUEBLES,CONSTRUCCION DE MUEBLES DE OFICINA,TALLER JORQUERA SPA,DISEÑO Y FABRICACIÓN DE MUEBLES - OBRAS MENORES Y CONSTRUCCION,COMPRAS,DTE_033_000000000250_769171282.xml,250,CONSTRUCCION DE MUEBLES - CONSTRUCCION DE MUEBLES DE OFICINA,0.7000,Y,ADM-1.6,Custom office furniture construction; fits office supplies and expenses category.
OQ-00235,Floreros Jarron Ceramica Decorativos Para Mesa Oficina 3pcs,,MercadoLibre Chile LTDA,OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS N.C.P.,COMPRAS,DTE_033_000008921988_773982201.xml,8921988,Costo de envio,0.6500,Y,ADM-1.6,Decorative vases for office; fits office supplies and expenses category ADM-1.6.
OQ-00316,HULE AFRANELADO DELGADO 1.40 ANCHO,HULE AFRANELADO DELGADO 1.40 ANCHO,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001158729_770711002.xml,1158729,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY - JUEGO DUCHA EUROSPRAY CROMO - DUSCHY; LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK - LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK; MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHOC - MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHO; MONOMANDO LAVAPLATO VERT. PLUMBER CINCINNATI MOSAICO 20CI5603000 - MONOMANDO LAVAPLATO VERT. PLUMBER; SIFON LOA S/C ENTRADA ,0.8500,Y,EXP-14.4,"Siblings: shower set, sink, cabinetry, cooktop — house/building renovation materials, not office supplies."
OQ-00318,"TERMINAL HE PLANSA 1/2 "" - HOFFENS","TERMINAL HE PLANSA 1/2 "" - HOFFENS",COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001182279_770711002.xml,1182279,"ABRAZADERA SEBCOR 3/4"" - ABRAZADERA SEBCOR 3/4""; TEE PLANSA 1/2"" - HOFFENS - TEE PLANSA 1/2"" - HOFFENS; TERMINAL HE PLANSA 1/2 "" - HOFFENS - TERMINAL HE PLANSA 1/2 "" - HOFFENS; UNION PLANSA 1/2"" - HOFFENS - UNION PLANSA 1/2"" - HOFFENS; MANGUERA MALLAFLEX JARDIN 1/2""(5 MT) - MANGUERA MALLAFLEX JARDIN 1/2""(5 MT)",0.8000,Y,EXP-14.3,"Plumbing fittings (terminal, tee, union, abrazadera, manguera) — water network maintenance parts."
OQ-00320,CANDADO ODIS 340 2 LLAVES,CANDADO ODIS 340 2 LLAVES,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001218660_770711002.xml,1218660,"CANDADO ODIS 340 2 LLAVES - CANDADO ODIS 340 2 LLAVES; TORNILLO BANCO MECANICO C/YUNQUE 5"" MAR AZUL - TORNILLO BANCO MECANICO C/YUNQUE 5"" MAR AZUL; TORNILLO VOLCANITA ZINCADO ( 100 UNID.) 1"" - TORNILLO VOLCANITA ZINCADO ( 100 UNID.) 1""; ACEITE MEZCLA STIHL - 5 LTS - ACEITE MEZCLA STIHL - 5 LTS; BISAGRA LIOI # 38 1.1/2"" - BISAGRA LIOI # 38 1.1/2""",0.8000,Y,EXP-16.2,"General farm hardware (padlock, bench vise, Stihl oil, hinges) — not office supplies; general campo expenses."
OQ-00346,TONER BROTHER TN-3429 DCP-L56500DN/5100DN 3000PAG,,PROVEEDORES INTEGRALES DEL SUR S.A.,"COMPRA, VENTA DE ARTICULOS DE OFICINA Y LIBRERIA",COMPRAS,DTE_033_000001625589_760415790.xml,1625589,CARPETA COLGANTE METAL TORRE STAND.; DESTACADOR PASTEL X 12 UND SHARPIE NOTE; DESTACADOR FILGO FLUOR SET X 4 UND TEXT MARKER; PAPEL FOTOC. CARTA 75 GR EXECUTIVE; ARCHIVADOR OFICIO ANCHO BURDEO AUCA; PLUMON PIZARRA ROJO P.REDONDA ARTEL MP 70-D,0.9500,Y,ADM-1.6,"Printer toner with sibling office supplies (carpeta, papel, archivador, plumones) = office supplies."
OQ-00347,SET REPUESTO HOJA CARTONERO 10 UNI (CQA19U) UYUSTOOLS,,COMERCIAL CLIMENT SPA,"Venta al por mayor de Materiales de Construccion,",COMPRAS,DTE_033_000000663691_864906001.xml,663691,"CLAVO CORRIENTE 3"" X 10 (KG); CLAVO CORRIENTE 4"" X 8 (KG) ""OFERTA""; LAPIZ CARPINTERO BICOLOR; BROCA METAL HSS 4MM D-06339 MAKITA; BROCA METAL HSS 3MM D-09684 MAKITA; DISCO DIAMANTADO 115MM X 22,23MM D-36837 MAKITA",0.8500,Y,EXP-14.4,"Box cutter blades, nails, drill bits, diamond disc — construction/building maintenance tools; not office supplies."
OQ-00348,TONER ORIGINAL TN860XL MARCA BROTHER,TONER ORIGINAL TN860XL MARCA BROTHER,COMERCIAL V A M OFFICES SUPPLIES LIMITADA,IMPORTACION EXPORTACION COMPRA-VENTA EQUIPOS E INSUMOS DE OFICINA SERVICIO TECN,COMPRAS,DTE_033_000000187091_762652668.xml,187091,TONER ORIGINAL TN860XL MARCA BROTHER - TONER ORIGINAL TN860XL MARCA BROTHER; DESPACHO WEB - REGIONES ESTIMADO DE 1-5 DIAS HABILES SIGUIENTES AL DIA DE TU COMPRA ZONAS EXTREMAS D,0.9800,Y,ADM-1.6,Printer toner from office equipment supplier; clear office supply.
OQ-00349,CUCHILLO CARTONERO GRANDE ISOFIT 11416-2,,PROVEEDORES INTEGRALES DEL SUR S.A.,"COMPRA, VENTA DE ARTICULOS DE OFICINA Y LIBRERIA",COMPRAS,DTE_033_000001681729_760415790.xml,1681729,CUADERNO UNIV. E/S 100 HJ M7 COLON LISO BASIC; SOBRE SACO OFICIO KRAFT 25X36 70GR X 50 UN; MARCADOR PERMAN.ARTEL P.REDONDA 50 NEGRO; PLUMON PIZARRA NEGRO P.REDONDA ARTEL MP 70-D; PLUMON PIZARRA ROJO P.REDONDA ARTEL MP 70-D; PLUMON PIZARRA AZUL P.REDONDA ARTEL MP 70-D,0.9200,Y,ADM-1.6,Box cutter in office supply store context; siblings are exclusively stationery items.
OQ-00350,RESMA HOJA CARTA PARA IMPRESORA,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005036133_823926006.xml,5036133,,0.9900,Y,ADM-1.6,Printer paper; client product hint explicitly lists this item+provider as ADM-1.6.
OQ-00351,RESMA TERMOLAMINAR GBC CARTA 100 UND 229X292MM,RESMA TERMOLAMINAR GBC CARTA 100 UND 229X292MM,LEONEL IVAN OJEDA VASQUEZ COMERCIALIZACION DE ARTICULOS DE ESCRITORIO Y OFICINA E I R L,LIBRERIA VENTA DE LIBROS VENTAS AL POR MAYOR DE MAQUINAS Y EQUIPOS DE OFICINA Y,COMPRAS,DTE_033_000000011408_764511026.xml,11408,RESMA TERMOLAMINAR GBC CARTA 100 UND 229X292MM - RESMA TERMOLAMINAR GBC CARTA 100 UND 229X292MM,0.9500,Y,ADM-1.6,Laminating pouches from stationery/bookshop provider; clear office supply.
OQ-00352,O109-TN420 TONER BROTHER TN-420,,IMPORTADORA Y EXPORTADORA LASER IMAGING CHILE SPA,IMPORTADORA,COMPRAS,DTE_033_000000033763_770304709.xml,33763,SS01-OC102 DESPACHO,0.9500,Y,ADM-1.6,Printer toner from importer; clear office supply.
OQ-00353,COPLA 32 MM HDPE,,TODO CONSTRUCCION SUR SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000000011578_770691567.xml,11578,TERMINAL HI 32 MM HDPE,0.7000,Y,EXP-14.3,HDPE coupling and terminal fittings = water pipe maintenance parts; EXP-14.3 covers fittings.
OQ-00641,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL FEBRERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000414_770642981.xml,414,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL FEBRERO,0.8500,N,,
OQ-00645,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL AGOSTO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000360_770642981.xml,360,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL AGOSTO,0.8500,N,,
