candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00001,Gastos Gestión Cobranzas,,Sociedad Concesionaria Costanera Norte S.A.,"Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000011842915_764961307.xml,11842915,Interes Exento por mora,0.8500,Y,ADM-1.7,"Toll-road cobranza charge from concession road operator, not admin wages"
OQ-00002,Gastos Cobranza,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.","Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000007009246_968752308.xml,7009246,Intereses Exentos,0.8500,Y,ADM-1.7,"Gastos Cobranza from toll road concession, other admin expense"
OQ-00003,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.","Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000007009246_968752308.xml,7009246,Gastos Cobranza,0.8500,Y,ADM-1.7,"Intereses Exentos on toll road invoice, other admin expense"
OQ-00051,Administracion de Contratos,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003200024_97080000K.xml,3200024,Pago Vencido de renta de Arrendamiento Nº8 del contrato Nº32799-1,0.8500,Y,ADM-1.7,Bank contract administration fee on lease invoice; admin expense
OQ-00165,INTERES MORA MAYOR PLAZO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004911341_823926006.xml,4911341,,0.9500,Y,ADM-1.7,Late payment interest (mora) on extended credit = administrative financial charge
OQ-00263,Interes Exento por mora,,Sociedad Concesionaria Costanera Norte S.A.,"Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000011842915_764961307.xml,11842915,Gastos Gestión Cobranzas,0.9500,Y,ADM-1.7,Late payment interest on toll road; administrative miscellaneous expense. Sibling: Gastos Cobranzas.
OQ-00291,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL OCTUBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000383_770642981.xml,383,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL OCTUBRE,0.8500,Y,ADM-1.10,OHS consultancy; client hint ADM-1.10 explicitly shows 'SEGURIDAD Y SALUD OCUPA' as example.
OQ-00292,COMISION MANTENCION PLAN (EXENTO DE IVA),COMISION MANTENCION PLAN (EXENTO DE IVA),Santander - Chile,Banco Comercial,COMPRAS,DTE_034_000014444056_97036000K.xml,14444056,COMISION MANTENCION PLAN (EXENTO DE IVA) - COMISION MANTENCION PLAN (EXENTO DE IVA),0.9500,Y,ADM-1.7,Bank account plan maintenance commission; administrative miscellaneous bank fee.
OQ-00326,INSCRIPCION JORNADAS TECNICAS 2025,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_034_000000015387_823926006.xml,15387,,0.8500,Y,EXP-1.1,Technical workshop registration = staff training/education event; EXP-1.1 covers capacitaciones y eventos.
OQ-00461,TRANSPORTE DE CARGA Y ENCOMIENDA: 260579524,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000013233979_76211240K.xml,13233979,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00462,TRANSPORTE DE CARGA Y ENCOMIENDA: 241036329,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000012742801_76211240K.xml,12742801,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00463,TRANSPORTE DE CARGA Y ENCOMIENDA: 242644290,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000012783268_76211240K.xml,12783268,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00464,TRANSPORTE DE CARGA Y ENCOMIENDA: 245626963,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000012857810_76211240K.xml,12857810,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00465,TRANSPORTE DE CARGA Y ENCOMIENDA: 247095160,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000012895241_76211240K.xml,12895241,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00466,TRANSPORTE DE CARGA Y ENCOMIENDA: 247753082,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000012914919_76211240K.xml,12914919,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00467,COURIER,10000158,CHILEXPRESS S.A.,"TRANSP. DE CARGA,SERV. DE RECAUD.,ENVIO VALIJAS, CORREOS Y TELECOM. MULTIP",COMPRAS,DTE_033_000012730744_967564303.xml,12730744,CAJA SIN CUNA - 20000082; COURIER - 10000158,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00468,TRANSPORTE DE CARGA Y ENCOMIENDA: 252700360,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000013041987_76211240K.xml,13041987,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00469,TRANSPORTE DE CARGA Y ENCOMIENDA: 254146417,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000013077037_76211240K.xml,13077037,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00470,TRANSPORTE DE CARGA Y ENCOMIENDA: 254539329,,Kaudat SpA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES",COMPRAS,DTE_033_000013095866_76211240K.xml,13095866,,0.9500,Y,ADM-1.7,Courier/parcel/encomienda service; client example hint matches exactly this item type.
OQ-00476,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_033_000000020577_760703753.xml,20577,OTROS INSUMOS - Trabajo maestranza - OTROS INSUMOS - Trabajo maestranza; MANO DE OBRA SERVICIO TECNICO GILTRAP - MANO DE OBRA SERVICIO TECNICO GILTRAP,0.9500,Y,EXP-13.1,GILTRAP technical service labor; sibling 'Trabajo maestranza' confirms machinery repair context.
OQ-00496,270 RECAUDACION POR RENOVACION CASILLAS,,EMPRESAS DE CORREOS DE CHILE,Servicios Postales Nacionales e Internacionales,COMPRAS,DTE_034_000002805971_605030009.xml,2805971,,0.8500,Y,ADM-1.7,PO box renewal fee (casillas postales) from Correos de Chile; fits admin misc expenses.
OQ-00512,PAGO ARRIENDO OPERACION:,PAGO ARRIENDO OPERACION:,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000053999128_97036000K.xml,53999128,PAGO ARRIENDO OPERACION: - PAGO ARRIENDO OPERACION:; LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE - LEASING 614747 DICIEMBRE 2025 CUOTA 6 DE 25,0.9000,Y,ADM-1.7,"Santander leasing payment cuota; financial leasing installment via bank, asset type unspecified."
OQ-00529,COMISION DE MANTENCION DE PLAN,COMISION DE MANTENCION DE PLAN,Santander - Chile,Banco Comercial,COMPRAS,DTE_033_000054268789_97036000K.xml,54268789,COMISION DE MANTENCION DE PLAN - COMISION DE MANTENCION DE PLAN,0.9500,Y,ADM-1.7,Santander bank plan maintenance commission; bank admin fee = Otros Gastos Administracion.
OQ-00581,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,SERVICIOS PRESTADOS POR CONCESIONARIOS DE CARRETERAS,COMPRAS,DTE_034_000001319165_773377529.xml,1319165,Viajes TAG del Periodo,0.8500,Y,ADM-1.7,Interest on TAG toll is administrative financial expense; sibling confirms toll context
OQ-00621,COMISION ADMINISTRACION SINIESTRO OP.23221-2,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003215539_97080000K.xml,3215539,,0.8500,N,,
OQ-00622,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JULIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000354_770642981.xml,354,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JULIO,0.7000,N,,
OQ-00623,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ABRIL,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000331_770642981.xml,331,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ABRIL,0.7000,N,,
OQ-00624,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000375_770642981.xml,375,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL SEPTIEMBRE,0.7000,N,,
OQ-00625,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL MARZO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000326_770642981.xml,326,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL MARZO,0.7000,N,,
OQ-00637,Intereses mayor plazo,Intereses mayor plazo,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028118938_810941006.xml,28118938,Intereses mayor plazo - Intereses mayor plazo,0.8000,N,,
OQ-00640,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL DICIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000396_770642981.xml,396,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL DICIEMBRE,0.7000,N,,
OQ-00644,ENGRACE,ENGRACE,LIDIA ANGELICA SANHUEZA FUENTES,COMPRAVENTA MAQUINARIAS SERVICIO TECNICO,COMPRAS,DTE_033_000000082165_111003351.xml,82165,STIHL VASTAGO 25 4 MM FS 120 - 250 - STIHL VASTAGO 25 4 MM FS 120 - 250; STIHL EJE CARDAN FS-85 120 250 KA-85R - STIHL EJE CARDAN FS-85 120 250 KA-85R; STIHL BUJIA CORTA NGK BPMR7A MS170 A 660 FS SR HS - STIHL BUJIA CORTA NGK BPMR7A MS170 A 660 FS SR H; STIHL FILTRO DE AIRE MM 55 BT 121 FS 120-250-450 - STIHL FILTRO DE AIRE MM 55 BT 121 FS 120-250-450; FILTRO MEZCLA MS170 210 250 39 - FILTRO MEZCL,0.8000,N,,
OQ-00648,Anula documento de referencia,,BANCO BICE,BANCOS,COMPRAS,DTE_061_000000124293_97080000K.xml,124293,,0.8500,N,,
OQ-00656,RATITA MARITA,,Ainilebu SPA,Venta al por menor de Libros y Revistas,COMPRAS,DTE_033_000000001269_764256263.xml,1269,HARRY POTTER 1 Y LA PIEDRA FILOSOFAL; DIARIO; PAPELUCHO MI HERMANA JI; STINK Y LA MARCHA ZOMBI A LA MEDIANOCHE; NINA TORBELLINA1 EL PLAN DEL CAMPAMENTO; NINA TORBELLINA 2,0.8500,N,,
OQ-00657,Insumos Generales,,EMVI INGENIERÍA Y SOLUCIONES INDUSTRIALES SPA,INGENIERÍA Y SOLUCIONES INDUSTRIALES,COMPRAS,DTE_033_000000000137_775547499.xml,137,Asistencia Técnica - Rep. Sistema de Red DPNET Identificación Sala Rotativa; Gastos Operacionales - Segun Cotiz. N°195 Informe N°112,0.7500,N,,
OQ-00659,VIDRIOS,,ROSA ELVIRA SOLIS GUARDA,"REP MANTEN DE VEHIC VTA REP NUEVOS , USADOS ,VIDRIOS,ALUM,PVC ACCES",COMPRAS,DTE_033_000000000662_104160557.xml,662,,0.6000,N,,
OQ-00663,Comisión por Transferencia Electrónica d,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003524675_97080000K.xml,3524675,,0.7500,N,,
OQ-00981,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL AGOSTO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000360_770642981.xml,360,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL AGOSTO,0.8500,N,,
OQ-00984,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL NOVIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000390_770642981.xml,390,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL NOVIEMBRE,0.8500,N,,
OQ-01708,NOTA DEBITO X INTERESES,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,"Compraventa de insumos y maquinaria agricola,combustibles,Exportaciones y Servic",COMPRAS,DTE_056_000000464714_812908006.xml,464714,,0.9500,N,,
