candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00546,MONITOREO MES DE 05/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010466890_760586471.xml,10466890,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00547,MONITOREO MES DE 10/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011355689_760586471.xml,11355689,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00548,MONITOREO MES DE 04/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010363947_760586471.xml,10363947,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00550,MONITOREO MES DE 12/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011689021_760586471.xml,11689021,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00551,MONITOREO MES DE 02/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010099225_760586471.xml,10099225,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00552,MONITOREO MES DE 09/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011256106_760586471.xml,11256106,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00553,MONITOREO MES DE 08/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011144290_760586471.xml,11144290,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00554,MONITOREO MES DE 05/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010484611_760586471.xml,10484611,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00555,MONITOREO MES DE 03/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010252514_760586471.xml,10252514,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00556,MONITOREO MES DE 07/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010945091_760586471.xml,10945091,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00557,MONITOREO MES DE 11/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011545121_760586471.xml,11545121,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00558,MONITOREO MES DE 01/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000009926771_760586471.xml,9926771,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00559,MONITOREO MES DE 04/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010347456_760586471.xml,10347456,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00560,MONITOREO MES DE 09/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011195668_760586471.xml,11195668,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00561,MONITOREO MES DE 10/2025 CONTRATO 1731576,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011397156_760586471.xml,11397156,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
OQ-00562,MONITOREO MES DE 08/2025 CONTRATO 1731305,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011122751_760586471.xml,11122751,,0.8500,Y,ADM-1.7,Verisure monthly security monitoring is service fee not vehicle insurance
