candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00806,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000628741_990120005.xml,628741,Periodo de Cobertura febrero 2025; RUTCOBRANZA 96685810,0.9900,Y,ADM-2.2,keyword-grounded
OQ-00819,"POLIZA 6615118, FECHA DE PAGO 10/11/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001897739_966541806.xml,1897739,,0.9500,N,,
OQ-00820,"POLIZA 6615118, FECHA DE PAGO 09/10/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001860423_966541806.xml,1860423,,0.9500,N,,
OQ-00821,"POLIZA 6615118, FECHA DE PAGO 11/12/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001936061_966541806.xml,1936061,,0.9800,N,,
OQ-00822,"POLIZA 6615118, FECHA DE PAGO 10/07/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001752513_966541806.xml,1752513,,0.9800,N,,
OQ-00823,"POLIZA 6615118, FECHA DE PAGO 10/06/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001709885_966541806.xml,1709885,,0.9800,N,,
OQ-00824,"POLIZA 6615118, FECHA DE PAGO 08/08/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001777149_966541806.xml,1777149,,0.9800,N,,
OQ-00825,"POLIZA 6615118, FECHA DE PAGO 10/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001623204_966541806.xml,1623204,,0.9800,N,,
OQ-00826,"POLIZA 6615118, FECHA DE PAGO 06/02/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001578417_966541806.xml,1578417,,0.9500,N,,
OQ-00827,"POLIZA 6615118, FECHA DE PAGO 08/05/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001671878_966541806.xml,1671878,,0.9500,N,,
OQ-00828,"POLIZA 6615118, FECHA DE PAGO 06/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001609009_966541806.xml,1609009,,0.9500,N,,
OQ-00829,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000628741_990120005.xml,628741,Seguro Colectivo. Poliza Nro. 12799; Periodo de Cobertura febrero 2025,0.9500,Y,ADM-2.2,keyword-grounded
OQ-00846,Cargo fondo de estabilizacion ley 21.472,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000001377930_813886006.xml,1377930,Administracion del servicio; Electricidad consumida 1310 KwH; Pago de cuenta fuera de plazo; Uso del sistema de transmision; Servicio publico; (R.M.E.),0.9500,N,,
OQ-00886,Valor Exento Afectado,,COOP RURAL ELECTRICA RIO BUENO LIMITADA,Cooperativa Rural Electrica,COMPRAS,DTE_061_000000513418_813886006.xml,513418,Valor Neto Afectado,0.9500,N,,
OQ-01020,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL MAYO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000337_770642981.xml,337,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL MAYO,0.3000,N,,
