candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00542,MONITOREO MES DE 10/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011403304_760586471.xml,11403304,,0.9000,Y,ADM-1.7,Verisure monthly security monitoring is a service fee not insurance policy
OQ-00543,MONITOREO MES DE 12/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011641122_760586471.xml,11641122,,0.9000,Y,ADM-1.7,Verisure monthly security monitoring is a service fee not insurance policy
OQ-00544,MONITOREO MES DE 11/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000011523854_760586471.xml,11523854,,0.9000,Y,ADM-1.7,Verisure monthly security monitoring is a service fee not insurance policy
OQ-00545,MONITOREO MES DE 03/2025 CONTRATO 1731275,,VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD,COMPRAS,DTE_033_000010279951_760586471.xml,10279951,,0.9000,Y,ADM-1.7,Verisure monthly security monitoring is a service fee not insurance policy
OQ-00921,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000628741_990120005.xml,628741,Periodo de Cobertura febrero 2025; RUTCOBRANZA 96685810,0.9500,Y,REJECT,2step_review
OQ-00934,"POLIZA 6615118, FECHA DE PAGO 09/10/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001860423_966541806.xml,1860423,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00935,"POLIZA 6615118, FECHA DE PAGO 10/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001623204_966541806.xml,1623204,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00936,"POLIZA 6615118, FECHA DE PAGO 06/02/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001578417_966541806.xml,1578417,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00937,"POLIZA 6615118, FECHA DE PAGO 10/07/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001752513_966541806.xml,1752513,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00938,"POLIZA 6615118, FECHA DE PAGO 10/11/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001897739_966541806.xml,1897739,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00939,"POLIZA 6615118, FECHA DE PAGO 06/03/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001609009_966541806.xml,1609009,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00940,"POLIZA 6615118, FECHA DE PAGO 11/12/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001936061_966541806.xml,1936061,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00941,"POLIZA 6615118, FECHA DE PAGO 08/05/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001671878_966541806.xml,1671878,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00942,"POLIZA 6615118, FECHA DE PAGO 10/06/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001709885_966541806.xml,1709885,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00943,"POLIZA 6615118, FECHA DE PAGO 08/08/2025",,Cia de Seguros Generales Consorcio Nacional de Seguros SA,Seguros Generales,COMPRAS,DTE_033_000001777149_966541806.xml,1777149,,0.9500,Y,ADM-2.3,keyword-grounded
OQ-00946,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000687382_990120005.xml,687382,Seguro Colectivo. Poliza Nro. 12799; Periodo de Cobertura febrero 2026,0.9500,Y,ADM-2.1,2step_review
OQ-00957,Periodo de Cobertura octubre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000667460_990120005.xml,667460,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,2step_review
OQ-00958,Periodo de Cobertura noviembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000672290_990120005.xml,672290,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00959,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000657568_990120005.xml,657568,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00960,Periodo de Cobertura diciembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000677331_990120005.xml,677331,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00961,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000647680_990120005.xml,647680,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00962,Periodo de Cobertura mayo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000643067_990120005.xml,643067,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00963,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000652425_990120005.xml,652425,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00964,Periodo de Cobertura abril 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000638229_990120005.xml,638229,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00965,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000687382_990120005.xml,687382,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00966,Periodo de Cobertura febrero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000628741_990120005.xml,628741,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00967,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000682881_990120005.xml,682881,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00968,Periodo de Cobertura enero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000622975_990120005.xml,622975,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00970,Periodo de Cobertura marzo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,Seguros de Vida,COMPRAS,DTE_033_000000633520_990120005.xml,633520,Seguro Colectivo. Poliza Nro. 12799; RUTCOBRANZA 96685810,0.9500,Y,ADM-2.1,wave2_review
OQ-00971,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.","Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000007009246_968752308.xml,7009246,Gastos Cobranza,0.8500,Y,ADM-1.7,wave2_review
OQ-00972,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000375_770642981.xml,375,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL SEPTIEMBRE,0.7500,Y,ADM-1.7,wave2_review
OQ-00974,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ENERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000406_770642981.xml,406,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ENERO,0.7500,Y,ADM-1.7,wave2_review
OQ-01006,Gastos Gestión Cobranzas,,Sociedad Concesionaria Costanera Norte S.A.,"Construcción, Conservación y Explotación de Obra Pública Fiscal",COMPRAS,DTE_034_000011842915_764961307.xml,11842915,Interes Exento por mora,0.1500,Y,REJECT,wave2_review
OQ-01026,COMISION MANTENCION PLAN (EXENTO DE IVA),COMISION MANTENCION PLAN (EXENTO DE IVA),Santander - Chile,Banco Comercial,COMPRAS,DTE_034_000014444056_97036000K.xml,14444056,COMISION MANTENCION PLAN (EXENTO DE IVA) - COMISION MANTENCION PLAN (EXENTO DE IVA),0.8500,Y,ADM-1.7,wave2_review
