candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00682,Programa de inglés,,ENGLISH TRAINING SPA,CLASES DE INGLÉS A EMPRESAS Y PERSONAS,COMPRAS,DTE_034_000000000021_773602468.xml,21,,0.2000,Y,EXP-1.1,2step_review
OQ-01036,CURSO OPERADOR MOTOS,,SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,PRESTACION DE SERVICIOS DE CAPACITACION,COMPRAS,DTE_034_000000001484_762223120.xml,1484,,0.9500,Y,EXP-1.1,2step_review
OQ-01037,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000413_770642981.xml,413,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO,0.9500,Y,ADM-1.10,2step_review
OQ-01039,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000361_770642981.xml,361,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO,0.9500,Y,ADM-1.10,2step_review
OQ-01040,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000342_770642981.xml,342,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO,0.9500,Y,ADM-1.10,2step_review
OQ-01041,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000389_770642981.xml,389,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS NOVIEMBRE,0.9500,Y,ADM-1.10,2step_review
OQ-01042,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000336_770642981.xml,336,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MAYO,0.9500,Y,ADM-1.10,2step_review
OQ-01043,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000325_770642981.xml,325,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS MARZO,0.9500,Y,ADM-1.10,2step_review
OQ-01044,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000374_770642981.xml,374,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS SEPTIEMBRE,0.9500,Y,ADM-1.10,2step_review
OQ-01046,RECURSOS HUMANOS,CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000397_770642981.xml,397,RECURSOS HUMANOS - CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE,0.9500,Y,ADM-1.10,2step_review
