candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00143,GENERADOR TRIFASICO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,"MANTENCION,ASEO Y LIMPIEZA DE INDUSTRIAS,LECHERIAS,SILOS,INST.IND.Y CO",COMPRAS,DTE_033_000000000286_764520343.xml,286,CAMION; ROSCO; RETIRO ALIMENTO; LAVADO SILO INTERIOR; TRASLADO EQUIPO,0.6000,Y,EXP-14.4,Generator used in silo cleaning job; siblings lavado silo + pintura = installation maintenance
OQ-00150,ROSCO,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,"MANTENCION,ASEO Y LIMPIEZA DE INDUSTRIAS,LECHERIAS,SILOS,INST.IND.Y CO",COMPRAS,DTE_033_000000000286_764520343.xml,286,CAMION; GENERADOR TRIFASICO; RETIRO ALIMENTO; LAVADO SILO INTERIOR; TRASLADO EQUIPO,0.6000,Y,EXP-14.4,Rosco used in silo cleaning job; siblings lavado silo = maintenance of farm installation
OQ-00157,LAVADO SILO INTERIOR,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,"MANTENCION,ASEO Y LIMPIEZA DE INDUSTRIAS,LECHERIAS,SILOS,INST.IND.Y CO",COMPRAS,DTE_033_000000000286_764520343.xml,286,CAMION; ROSCO; GENERADOR TRIFASICO; RETIRO ALIMENTO; TRASLADO EQUIPO,0.7500,Y,EXP-14.4,Lavado silo interior = silo cleaning/maintenance; silo is farm installation not dairy shed
OQ-01089,INSTALACION DE LAVADORA,EN SALA DE ORDEÑA,SERVICIOS DE MANTENCIÓN DOMICILIARIA NONTUELA SPA,SERVICIOS DE REPARACIÓN Y MANTENCIONES DOMICILIARIAS,COMPRAS,DTE_033_000000000079_77801937K.xml,79,INSTALACION DE LAVADORA - EN SALA DE ORDEÑA,0.7000,Y,EXP-10.1,2step_review
OQ-01182,Servicios de gasfiteria,Mantencion a calefont juncker de 10 litros.,CESAR ANDRES YANEZ SOTO,CONTRATISTA EN OBRAS MENORES - ARRIENDO DE VEHICULOS,COMPRAS,DTE_033_000000000224_163448394.xml,224,Servicios de gasfiteria - Mantencion a calefont juncker de 10 litros.,0.8500,Y,EXP-14.4,2step_review
OQ-01183,SEAL KIT FOR HILGE MILK PUMP 2.2KW,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024779_761757865.xml,24779,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; MANGA DE LECHE 16 MM./MT; SPRAY DESLIZANTE; TUBO CORTO VACIO WESTFALIA; Kit pulsador / 1500 h Pulsador Apex M,0.9000,Y,EXP-10.4,2step_review
OQ-01184,-Juego de servicio - Gestion de leche (C)var.,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024856_761757865.xml,24856,"JUEGO DE SERVICIO-TRANSPORTE DE LECHE(C) VAR M.RECEIVER FLOAT SWITCH; KIT SER 1500H VAL AUT PURGA 50 MM; KIT SERV 4500 H VALVULA RETENCION BBA LECHE 1.5 KW; JUEGO FILTROS DE AIRE VACUREX; FILTRO PULSADOR AUTOP/STIMOP/SIMPLE; KIT PULSADOR/4500 H, STIMOPULS/AUTOPULS APEX",0.8800,Y,EXP-10.4,2step_review
OQ-01205,cambio tablero,se compra y remplaza tablero electrico de estanque en carro para leche de terneros. se instalo tablero metalico con automatico de fuerza y control y diferencial.,SERVICIOS INTEGRALES EDUARDO GUERRERO SPA,OBRAS E INSTALACIONES MENORES DE CONSTRUCCIÓN A DOMICILIO,COMPRAS,DTE_033_000000000069_780257318.xml,69,cambio tablero - se compra y remplaza tablero electrico de estanque en carro para leche de terneros.,0.8500,Y,EXP-10.1,2step_review
OQ-01252,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001158729_770711002.xml,1158729,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY - JUEGO DUCHA EUROSPRAY CROMO - DUSCHY; LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK - LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK; MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHOC - MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHO; MONOMANDO LAVAPLATO VERT. PLUMBER CINCINNATI MOSAICO 20CI5603000 - MONOMANDO LAVAPLATO VERT. PLUMBER; SIFON LOA S/C ENTRADA ,0.2000,Y,EXP-10.3,2step_review
OQ-01254,CAFFE EN GRANO EXQUISIT KG. 1,,IMPORTADORA SOMAGEL SPA,"IMP Y EXP, Y COMER DE MAQUI E INSUMOS PRODUC PARA LA IND ALIMENTICIA",COMPRAS,DTE_033_000000179223_774434208.xml,179223,CIALDE EXQUISIt GR 7 *150,0.2000,Y,EXP-10.4,2step_review
OQ-01263,RECUPERACION SANEAMIENTOS DECOMISOS,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,COMISION BOVINOS REPOSICION; RECUPERACION OTROS INGRESOS; RECUPERACION GASTOS SAG,0.7000,Y,ING-0.1,2step_review
OQ-01265,COMISION BOVINOS REPOSICION,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,RECUPERACION SANEAMIENTOS DECOMISOS; RECUPERACION OTROS INGRESOS; RECUPERACION GASTOS SAG,0.7500,Y,ING-0.2,2step_review
OQ-01668,"JUEGO DE SERVICIO-GESTION DE LECHE CE VAR.,METATRON W",,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024762_761757865.xml,24762,SOPORTE PARA FILTRO 40 MM.; VIAJE TECNICO; HORA TECNICA JM,0.8000,Y,EXP-10.1,2step_review
OQ-01669,DUCHA LAVADO TRAMPA 22 LT /67 LT,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DE LECHE 16 MM. SILICONA-MT.; MANGA DOBLE VACIO TRANSP./MT.; SPRAY DESLIZANTE,0.8500,Y,EXP-10.1,2step_review
OQ-03054,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028919440_810941006.xml,28919440,REPUESTOS MANTENCION ESTANQUE PREDIAL - REPUESTOS MANTENCION ESTANQUE PREDIAL,0.8000,Y,EXP-10.1,2step_review
OQ-03141,CASQUILLO DE QUITA Y PON N3(10pcs),,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024726_761757865.xml,24726,COLLAR CON CIERRE L1350 COW 10 PCS,0.8500,Y,EXP-10.1,2step_review
