candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00004,Administracion del servicio,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000001373727_813886006.xml,1373727,Electricidad consumida 644 KwH; Pago de cuenta fuera de plazo; Uso del sistema de transmision; Servicio publico; (R.M.E.); Cargo fondo de estabilizacion ley 21.472,0.8500,Y,EXP-11.1,Utility admin charge on electricity invoice; sibings show electricity consumption
OQ-00052,Administracion del servicio (Cargo fijo mensual),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000329769_816298008.xml,329769,,0.9000,Y,REJECT,No sibling items; cannot determine if Coop Paillaco invoice is dairy shed or house electricity
OQ-00078,"Ajuste para facilitar el pago en efectivo, mes actual",,Sociedad Austral de Electricidad SA,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000009413383_760731625.xml,9413383,Administración del Servicio; Transporte de Electricidad; Electricidad Consumida; Cargo por Servicio Público; Subsidio cuota deuda pandemia 38 / 48; Cuota deuda pandemia (38/48),0.9500,Y,REJECT,Adjustment line from electricity provider; siblings lack sala/casa/riego label; ambiguous subcategory.
OQ-00081,"Ajuste para facilitar el pago en efectivo, mes anterior",,Sociedad Austral de Electricidad SA,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000009413383_760731625.xml,9413383,Administración del Servicio; Transporte de Electricidad; Electricidad Consumida; Cargo por Servicio Público; Subsidio cuota deuda pandemia 38 / 48; Cuota deuda pandemia (38/48),0.9500,Y,REJECT,Adjustment line from electricity provider; siblings lack sala/casa/riego label; ambiguous subcategory.
OQ-00084,Servicio publico,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000001373283_813886006.xml,1373283,Administracion del servicio; Electricidad consumida 7020 KwH; Demanda maxima potencia leida 24.6 x $ 29234.756097560974; Demanda maxima suministrada 39.45 x $ 18337.946768060836; Pago de cuenta fuera de plazo; Perdida por transformacion,0.9500,Y,REJECT,Servicio publico from electricity provider; siblings lack sala/casa/riego label; ambiguous subcategory.
OQ-00842,Cargo fondo de estabilizacion ley 21.472,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000001373283_813886006.xml,1373283,Administracion del servicio; Electricidad consumida 7020 KwH; Demanda maxima potencia leida 24.6 x $ 29234.756097560974; Demanda maxima suministrada 39.45 x $ 18337.946768060836; Pago de cuenta fuera de plazo; Perdida por transformacion,0.9500,N,,
OQ-00878,Descuento interrupcion del servicio (Compensación),,CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000001424974_965315004.xml,1424974,Administración del Servicio; Transporte de Electricidad; Electricidad Consumida; Cargo mensual por demanda máxima de Potencia Contratada; Recargo Lectura Baja Tensión; Cargo por Servicio Público,0.9500,N,,
OQ-00885,Valor Exento Afectado,,COOP RURAL ELECTRICA RIO BUENO LIMITADA,Cooperativa Rural Electrica,COMPRAS,DTE_061_000000513018_813886006.xml,513018,Valor Neto Afectado,0.9500,N,,
OQ-00887,"Inspeccion de suministros individuales, colectivos y redes",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000329721_816298008.xml,329721,"Administracion del servicio (Cargo fijo mensual); Electricidad consumida ( 6.072 kWh); Cargo mensual por demanda máxima leida de potencia en horas de punta ( 0,010 ); Cargo mensual por D. Max de potencia suministrada ( 37,100 ); Transporte de Electricidad ( 6.072 kWh); Recargo lectura de BT de consumos de cliente en AT(E) 3,5%",0.9500,N,,
OQ-00888,Pago de cuenta fuera de plazo,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000001373283_813886006.xml,1373283,Administracion del servicio; Electricidad consumida 7020 KwH; Demanda maxima potencia leida 24.6 x $ 29234.756097560974; Demanda maxima suministrada 39.45 x $ 18337.946768060836; Perdida por transformacion; Uso del sistema de transmision,0.9500,N,,
OQ-01266,Electricidad Consumida,,CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000001424974_965315004.xml,1424974,Administración del Servicio; Transporte de Electricidad; Cargo mensual por demanda máxima de Potencia Contratada; Recargo Lectura Baja Tensión; Cargo por Servicio Público; Arriendo de Medidor,0.9500,N,,
OQ-01301,Electricidad Consumida,,Sociedad Austral de Electricidad SA,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000009413383_760731625.xml,9413383,Administración del Servicio; Transporte de Electricidad; Cargo por Servicio Público; Subsidio cuota deuda pandemia 38 / 48; Cuota deuda pandemia (38/48); Subsidio eléctrico Ley N°21.667(4/6),0.9500,N,,
