candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01381,Electricidad consumida ( 95 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000333811_816298008.xml,333811,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 95 kWh); Cargo por servicio publico Base ( 95 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
OQ-01382,Electricidad consumida ( 92 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000336196_816298008.xml,336196,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 92 kWh); Cargo por servicio publico Base ( 92 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
OQ-01383,Electricidad consumida ( 115 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000340638_816298008.xml,340638,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 115 kWh); Cargo por servicio publico Base ( 115 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
OQ-01384,Electricidad consumida ( 110 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000355668_816298008.xml,355668,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 110 kWh); Cargo por servicio publico Base ( 110 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
OQ-01385,Electricidad consumida ( 140 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000328309_816298008.xml,328309,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 140 kWh); Cargo por servicio publico Base ( 140 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
OQ-01386,Electrico,"Instalacion electrica baños y comedor, tendido de linea 30 mts, instalacion de perfil, foco con fotocelda, tendido de linea 20 mts.",A&C ELECTRICIDAD LIMITADA,INSTALACIONES ELECTRICAS,COMPRAS,DTE_033_000000000154_769560661.xml,154,"Electrico - Instalacion electrica baños y comedor, tendido de linea 30 mts, instalacion de perfil, f",0.9500,Y,EXP-11.1,wave2_review
OQ-01387,Electricidad consumida ( 73 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000349787_816298008.xml,349787,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 73 kWh); Cargo por servicio publico Base ( 73 kWh) (Ex. IVA),0.9500,Y,EXP-11.1,wave2_review
OQ-01388,Electricidad consumida ( 822 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000336097_816298008.xml,336097,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 822 kWh); Cargo por servicio publico Base ( 822 kWh) (Ex. IVA); Cargo Fondo de Estabilizacion Ley 21.472 ( 822 kWh) (Ex. IVA),0.9500,Y,EXP-11.1,wave2_review
OQ-01389,Electricidad consumida ( 133 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000340739_816298008.xml,340739,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 133 kWh); Cargo por servicio publico Base ( 133 kWh) (Ex. IVA),0.9500,Y,EXP-11.1,wave2_review
OQ-01390,Electricidad consumida ( 155 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000329263_816298008.xml,329263,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 155 kWh); Cargo por servicio publico Base ( 155 kWh) (Ex. IVA),0.9500,Y,EXP-11.1,wave2_review
OQ-01391,Electricidad consumida ( 184 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA,COMPRAS,DTE_033_000000354468_816298008.xml,354468,Administracion del servicio (Cargo fijo mensual); Transporte de Electricidad ( 184 kWh); Cargo por servicio publico Base ( 184 kWh) (Ex. IVA),0.9800,Y,EXP-11.2,2step_review
