candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00758,Petroleo Diesel G-B,IE Base: 104.3130 - IE Variable: -8.1225,INVERSIONES Y ASESORIA BARCA SPA 3103944,Venta al por menor de combustible para automotoras,COMPRAS,DTE_033_000000105324_776291242.xml,105324,Petroleo Diesel G-B - IE Base: 104.3130 - IE Variable: -8.1225,0.9000,Y,EXP-11.3,2step_review
OQ-00760,Diesel,Diesel,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,ESTACION,COMPRAS,DTE_033_000000528302_777854402.xml,528302,Diesel - Diesel,0.9500,Y,EXP-11.3,2step_review
OQ-00770,Petroleo Diesel G-B,IE Base: 102.9720 - IE Variable: 56.6209,INVERSIONES Y ASESORIA BARCA SPA 3103944,Venta al por menor de combustible para automotoras,COMPRAS,DTE_033_000000070167_776291242.xml,70167,Petroleo Diesel G-B - IE Base: 102.9720 - IE Variable: 56.6209,0.9500,Y,EXP-11.3,2step_review
OQ-00771,Petroleo Diesel G-B,IE Base: 104.3130 - IE Variable: -16.1129,DISTRIBUIDORA ENTRETECHO SPA,VENTA AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORES,COMPRAS,DTE_033_000000096905_771252230.xml,96905,Petroleo Diesel G-B - IE Base: 104.3130 - IE Variable: -16.1129,0.9500,Y,EXP-11.3,2step_review
OQ-00776,Gasolina 93,Gasolina 93,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,ESTACION,COMPRAS,DTE_033_000000546958_777854402.xml,546958,Gasolina 93 - Gasolina 93,0.9500,Y,EXP-11.4,2step_review
OQ-00793,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 4798{Impuesto variable combustible: -105,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000029310323_810941006.xml,29310323,PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 4798{Impuesto variable com,0.9000,Y,EXP-11.3,2step_review
OQ-00795,Petroleo Diesel G-B,IE Base: 103.3845 - IE Variable: -12.6060,INVERSIONES Y ASESORIA BARCA SPA 3103944,Venta al por menor de combustible para automotoras,COMPRAS,DTE_033_000000082602_776291242.xml,82602,Petroleo Diesel G-B - IE Base: 103.3845 - IE Variable: -12.6060,0.9000,Y,EXP-11.3,2step_review
OQ-00798,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 6649{Impuesto variable combustible: -342,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000029308467_810941006.xml,29308467,PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 6649{Impuesto variable com,0.9900,Y,EXP-11.3,2step_review
OQ-00800,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 4428{Impuesto variable combustible: -449,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000028923431_810941006.xml,28923431,PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 4428{Impuesto variable com,0.9800,Y,EXP-11.3,2step_review
OQ-00802,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 14651{Impuesto variable combustible: 2890,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000028921670_810941006.xml,28921670,GASOLINA 93; PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 14651{Impuesto variable co,0.9500,Y,EXP-11.3,2step_review
OQ-00804,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 4468{Impuesto variable combustible: -57,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000029307871_810941006.xml,29307871,PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 4468{Impuesto variable com,0.9500,Y,EXP-11.3,2step_review
OQ-00805,PETROLEO DIESEL ULTRA,Retira: ANTILLANCA SPA{Impuesto base combustible: 3025{Impuesto variable combustible: -66,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AGRICOLAS VETER. COMBUSTIBLES Y VEHICULOS,COMPRAS,DTE_033_000029582627_810941006.xml,29582627,PETROLEO DIESEL ULTRA - Retira: ANTILLANCA SPA{Impuesto base combustible: 3025{Impuesto variable com,0.9500,Y,EXP-11.3,2step_review
