candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00153,MUESTREO DE SUELOS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004961353_823926006.xml,4961353,ANALISIS SIRD-S BASICO SUELO + AZUFRE; KILOMETRAJE,0.8000,Y,EXP-12.1,Soil sampling with sibling analisis suelo+azufre = soil lab testing
OQ-00159,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005153578_823926006.xml,5153578,MUESTREO FORRAJE,0.8000,Y,EXP-12.1,NIRS forage/silage analysis with sibling muestreo forraje; rule: NIRS->EXP-12.1
OQ-00175,E. COLI EN AGUA,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005098581_823926006.xml,5098581,ENTEROCOCOS EN AGUA; AGUA PABCO 1,0.6500,Y,EXP-12.2,E.coli+enterococos water tests with AGUA PABCO 1 = biosecurity water testing for PABCO program
OQ-01611,MUESTREO FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005153578_823926006.xml,5153578,NIRS ENSILAJE PRADERA FORRAJE,0.9500,Y,EXP-12.1,keyword-grounded
OQ-01613,Muestreo forraje Maiten,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000244_98208089.xml,244,Muestra forraje Chapilcah; Muestra Forraje Yutreco,0.9500,Y,EXP-12.1,keyword-grounded
OQ-01614,Muestra forraje Chapilcah,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000244_98208089.xml,244,Muestreo forraje Maiten; Muestra Forraje Yutreco,0.9500,Y,REJECT,2step_review
OQ-01615,Muestra Forraje Yutreco,,JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,COMPRAS,DTE_033_000000000244_98208089.xml,244,Muestreo forraje Maiten; Muestra forraje Chapilcah,0.9500,Y,REJECT,2step_review
OQ-01629,ANALISIS SIRD-S BASICO SUELO + AZUFRE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004961353_823926006.xml,4961353,MUESTREO DE SUELOS; KILOMETRAJE,0.9000,Y,EXP-12.1,keyword-grounded
OQ-01661,INCORPORADOR,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000328_769874577.xml,328,,0.8500,Y,REJECT,2step_review
OQ-01667,INTERES MAYOR PLAZO,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,"Compraventa de insumos y maquinaria agricola,combustibles,Exportaciones y Servic",COMPRAS,DTE_061_000000396239_812908006.xml,396239,,0.1500,Y,REJECT,2step_review
OQ-02294,Analisis Nirs,Bolos de Ballica - Yutreco x 4 bolo y parva de ballica - Maiten x 9 Bramadero 10 Convenio Javier Silva,ROCK RIVER LABORATORY LIMITADA,LABORATORIO DE ANALISIS Y SERVICIOS,COMPRAS,DTE_033_000000000400_777616161.xml,400,Analisis Nirs - Bolos de Ballica - Yutreco x 4 bolo y parva de ballica - Maiten x 9 Bramadero 10 Con,0.9500,Y,EXP-12.1,2step_review
OQ-02591,GLUTAMATO DESHIDROGENASA (GLDH) SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005069701_823926006.xml,5069701,GOT (ASAT) SUERO; SELENIO (SE) SUERO; GAMMA GLUTAMIL TRANSFERASA (GGT) SUERO; FOSFORO (P) SUERO; COBRE (CU) SUERO; ZINC (ZN) SUERO,0.9500,Y,REJECT,2step_review
OQ-02745,ANALISIS BACTERIOLOGICO,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000025930_761757865.xml,25930,VIAJE TECNICO; HORA TECNICA FA; CORREA 3VX-530; SERVICIO EMERGENCIA FA,0.8500,Y,EXP-10.1,2step_review
OQ-02996,ANALISIS COMPLETO TEJIDO VEGETAL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004888059_823926006.xml,4888059,,0.9500,Y,EXP-12.1,keyword-grounded
OQ-03083,REVERSA ANALISIS COOPERADO,REVERSA ANALISIS COOPERADO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_061_000003789568_810941006.xml,3789568,REVERSA ANALISIS COOPERADO - REVERSA ANALISIS COOPERADO,0.9500,Y,EXP-12.1,2step_review
