candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00149,dias desbrozadora,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000190_76868328K.xml,190,cerco mooro grande puntil; cerco nvo copihues; cerco copihues reparación; cerco reparación morro gr; cerco reparacion bosque q; reparación ulmos (ultimo,0.7500,Y,EXP-14.2,Desbrozadora days for fence clearance; all siblings are fence repair/new fence jobs
OQ-00152,dias trabajados,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000188_76868328K.xml,188,cercos salas sur y norte; cercos; reparacion; cerco pozo lastre nuevo; reparacion cerco copihues; cerco poncho,0.7500,Y,EXP-14.2,Labor days with fence repair siblings confirms fence maintenance work
OQ-00273,ESCOBILLON MUNICIPAL CON MANGO E-542 ESPERANZA OSORNO -@,ESCOBILLON MUNICIPAL CON MANGO E-542 ESPERANZA OSORNO -@,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000223508_66554732.xml,223508,CANDADO TRADICIONAL S-50 BR BT POLI -@ - CANDADO TRADICIONAL S-50 BR BT POLI -@; CANDADO BRONCE ESTANDAR P 140 40MM BR POLI -@ - CANDADO BRONCE ESTANDAR P 140 40MM BR POLI -@; LLAVE BOLA JARDIN PN16 DE 1 2 X 3 4 GENEBRE -@ - LLAVE BOLA JARDIN PN16 DE 1 2 X 3 4 GENEBRE -@; ESCOBILLON MUNICIPAL CON MANGO E-542 ESPERANZA OSORNO -@ - ESCOBILLON MUNICIPAL CON MANGO E-542 ESPE; CORDEL YUTE 12 MM (9.7 MT,0.7000,Y,REJECT,"Broom among mixed hardware items (padlocks, valve, rope); no single category fits clearly."
OQ-00661,leña,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000184_76868328K.xml,184,dias,0.8500,N,,
OQ-00671,dias,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000184_76868328K.xml,184,leña,0.8500,N,,
OQ-00672,corrige montos,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_061_000000000015_76868328K.xml,15,,0.7000,N,,
OQ-00674,BANDERA,,CONFECCIONES Y ARRIENDO DE MAQUINARIA JACQUELINNE REYES EMPRESA INDIVI,"CONFECCION,CORDONERIA,ALQUIER DE MAQ, PREPA Y MOVIMIENTO DE TERRENO",COMPRAS,DTE_033_000000000428_766154131.xml,428,,0.6000,N,,
OQ-00978,"BROCHA 3"" CERDA GRIS ECONOMICA",,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.6000,N,,
OQ-01100,Ayuda en Moro chico,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_061_000000000016_76868328K.xml,16,Dias moto potrero poncho; Días galpon; Desbrosar cerco maiten 3; Rep Cerco Potrero Maiten; cerco nuevo 1hebra,0.9500,N,,
OQ-01212,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO EL MAITEN,BIOGENESIS ANIMAL HEALTH SPA,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS,COMPRAS,DTE_033_000000009536_761804944.xml,9536,COW GUARD BARRERA 210KG - PRODUCTO ENTREGADO FDO EL MAITEN,0.7500,N,,
