candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01073,servicio de purines,diciembre 2025,SILVOAGROPECUARIO YERKO VERA CAMPOS EMPRESA INDIVIDUAL DE RESPONSABILI,"CULTIVOS AGRÍCOLAS, CRÍA Y CORRETAJE DE GANADO, ACTIVIDADES VENTA LEÑA",COMPRAS,DTE_033_000000000339_772240368.xml,339,servicio de purines - diciembre 2025,0.8000,N,,
OQ-01225,servicio,mantencion de bba de purines mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000062_781899259.xml,62,servicio - mantencion de bba de purines mas materiales,0.8500,N,,
OQ-01749,servicio,reparaciones lineas de riego,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000072_781899259.xml,72,servicio - reparaciones lineas de riego,0.7000,N,,
OQ-01767,MANTENCION Y LIMPIEZA,ESTANQUE COMBUSTIBLE,FRANCISCO ALEJANDRO ARRIAGADA NAHUELPAN,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES EN TERRENO,COMPRAS,DTE_033_000000000735_169061092.xml,735,MANTENCION Y LIMPIEZA - ESTANQUE COMBUSTIBLE,0.7500,N,,
OQ-01809,PRESUPUESTO 2319/2025,"REEMPLAZO CONTACTOR DAÑADO BOMBAS AGUA , SALA DE ORDEÑA ,FUNDO EL MAITEN",ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUSTRIALES.,Instalaciones Electricas,COMPRAS,DTE_033_000000001070_764295218.xml,1070,"PRESUPUESTO 2319/2025 - REEMPLAZO CONTACTOR DAÑADO BOMBAS AGUA , SALA DE ORDEÑA ,FUNDO EL MAITEN; PRESUPUESTO 2320/2025 - CONEXIONADO NUEVA BOMBA ACHIQUE PURINES, SALA DE ORDEÑO, FUNDO EL MAITEN",0.8000,N,,
OQ-02580,Recarga Agua Purificada,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,"VENTA, ENVASADO Y DISTRIBUCIÓN DE AGUA PURIFICADA",COMPRAS,DTE_033_000000001027_776655848.xml,1027,Botellón 20 litros,0.8000,N,,
OQ-02889,ARGOLLA ACERO 6 X 40MM -@,ARGOLLA ACERO 6 X 40MM -@,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000235712_66554732.xml,235712,HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@ - HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@; HDPE-TERMINAL HI COMPRESION 32MM X 1-@ - HDPE-TERMINAL HI COMPRESION 32MM X 1-@; -BUSHING REDUCCION HE-HI 1 X 3 4 -@ - -BUSHING REDUCCION HE-HI 1 X 3 4 -@; VALVULA COMPACTA HI 3/4 60893 -@ - VALVULA COMPACTA HI 3/4 60893 -@; FILTRO AGUA PVC NEGRO 2 PULG. PRAKTUS -@ - FILTRO AGUA PVC NEGRO 2 PULG. PRAKTUS -@; VALVULA,0.6000,N,,
OQ-02935,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000313_769874577.xml,313,RIEGO DE PURIN; DESCARGA MAXIS,0.8500,N,,
OQ-03103,TUBO PVC SANITARIO REFORZADO 40MM,TUBO PVC SANITARIO REFORZADO 40MM,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001179837_770711002.xml,1179837,"ADHESIVO PVC VINILIT C/BROCHA TRADICIONAL 240 CC - ADHESIVO PVC VINILIT C/BROCHA TRADICIONAL 240 CC; COPLA CEM PVC PRES 25 MM - COPLA CEM PVC PRES 25 MM; CODO CEM PVC PRESION 90º 25 MM - CODO CEM PVC PRESION 90º 25 MM; TUBO PVC PRESION C/12,5 25MM - TUBO PVC PRESION C/12,5 25MM; TUBO PVC PRESION C/16 20 MM - TUBO PVC PRESION C/16 20 MM; BUJE CORTO CEM PVC PRESION 25 X 20 MM - BUJE CORTO CEM PVC PR",0.7000,N,,
OQ-03148,"CAñERIA COBRE ""M"" 1/2"" AGUA","CAÑERIA COBRE ""M"" 1/2"" AGUA",COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001201572_770711002.xml,1201572,"CAñERIA COBRE ""M"" 1/2"" AGUA - CAÑERIA COBRE ""M"" 1/2"" AGUA",0.7500,N,,
OQ-03457,"UNION PLANSA 1 1/4""- HOFFENS","UNION PLANSA 1 1/4""- HOFFENS",COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001165751_770711002.xml,1165751,"UNION PLANSA 1 1/4""- HOFFENS - UNION PLANSA 1 1/4""- HOFFENS",0.8500,N,,
OQ-03458,HULE AFRANELADO DELGADO 1.40 ANCHO,HULE AFRANELADO DELGADO 1.40 ANCHO,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001158729_770711002.xml,1158729,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY - JUEGO DUCHA EUROSPRAY CROMO - DUSCHY; LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK - LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK; MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHOC - MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHO; MONOMANDO LAVAPLATO VERT. PLUMBER CINCINNATI MOSAICO 20CI5603000 - MONOMANDO LAVAPLATO VERT. PLUMBER; SIFON LOA S/C ENTRADA ,0.8000,N,,
