candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01244,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_033_000000019927_760703753.xml,19927,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO - MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO; KILOMETRAJE VISITA TERRENO (considera visita técnica a 2 predios) - KILOMETRAJE VISITA TERRENO (cons,0.7000,Y,EXP-15.5,2step_review
OQ-01844,PODOLOGÍA CORRECTIVA,26 febrero: 25 vacas cojas,MOLINA MANNS SPA,SERV MÉDICOS VETERINARIOS Y ARRIENDO VEHÍCULO. CRIA DE GANADO BOVINO,COMPRAS,DTE_033_000000000042_781131369.xml,42,PODOLOGÍA CORRECTIVA - 26 febrero: 25 vacas cojas; VIATICO MOVILIZACION,0.9500,Y,EXP-15.2,2step_review
OQ-01845,VIATICO MOVILIZACION,,MOLINA MANNS SPA,SERV MÉDICOS VETERINARIOS Y ARRIENDO VEHÍCULO. CRIA DE GANADO BOVINO,COMPRAS,DTE_033_000000000042_781131369.xml,42,PODOLOGÍA CORRECTIVA - 26 febrero: 25 vacas cojas,0.9500,Y,EXP-15.3,2step_review
OQ-01846,PODOLOGÍA CLÍNICA BOVINA,Servicio realizado 15 abril 2025 por Roberto Molina,MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS,COMPRAS,DTE_033_000000000007_781131369.xml,7,PODOLOGÍA CLÍNICA BOVINA - Servicio realizado 15 abril 2025 por Roberto Molina; PODOLOGÍA CLINICA BOVINA - Servicio realizado 25 abril 2025 por Roberto Molina; VIATICO MOVILIZACION - 100km por visita,0.9500,Y,EXP-15.2,2step_review
OQ-01847,PODOLOGÍA CLINICA BOVINA,Servicio realizado 25 abril 2025 por Roberto Molina,MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS,COMPRAS,DTE_033_000000000007_781131369.xml,7,PODOLOGÍA CLÍNICA BOVINA - Servicio realizado 15 abril 2025 por Roberto Molina; PODOLOGÍA CLINICA BOVINA - Servicio realizado 25 abril 2025 por Roberto Molina; VIATICO MOVILIZACION - 100km por visita,0.9500,Y,EXP-15.2,2step_review
OQ-01848,VIATICO MOVILIZACION,100km por visita,MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS,COMPRAS,DTE_033_000000000007_781131369.xml,7,PODOLOGÍA CLÍNICA BOVINA - Servicio realizado 15 abril 2025 por Roberto Molina; PODOLOGÍA CLINICA BOVINA - Servicio realizado 25 abril 2025 por Roberto Molina; VIATICO MOVILIZACION - 100km por visita,0.8500,Y,EXP-15.3,2step_review
OQ-01849,PODOLOGIA CORRECTIVA,8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVICIOS REALIZADOS POR ROBERTO MOLINA,MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS,COMPRAS,DTE_033_000000000010_781131369.xml,10,PODOLOGIA CORRECTIVA - 8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVIC; VIATICO MOVILIZACION - 100 KILOMETROS POR VISITA,0.9500,Y,EXP-15.2,2step_review
OQ-01850,VIATICO MOVILIZACION,100 KILOMETROS POR VISITA,MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS,COMPRAS,DTE_033_000000000010_781131369.xml,10,PODOLOGIA CORRECTIVA - 8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVIC; VIATICO MOVILIZACION - 100 KILOMETROS POR VISITA,0.8500,Y,EXP-15.3,2step_review
OQ-01851,AUTO POLF GRANDE P-B,,SERVIGEN LTDA,LABORATORIO VETERINARIO,COMPRAS,DTE_033_000000034430_887346003.xml,34430,,0.7500,Y,EXP-2.6,2step_review
OQ-02037,Segregador de ganado,Blitz-Kerner,CUIDATUVACA SPA,CRIA DE GANADO BOVINO PARA LA PRODUCCION LECHERA,COMPRAS,DTE_033_000000000601_776387495.xml,601,Segregador de ganado - Blitz-Kerner; Caja Fulm 380 AG - 50 unidades,0.7500,Y,EXP-2.6,2step_review
OQ-02063,RECUPERACION GASTOS SAG,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,COMISION BOVINOS REPOSICION; RECUPERACION SANEAMIENTOS DECOMISOS; RECUPERACION OTROS INGRESOS,0.1500,Y,ING-0.1,2step_review
