candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00049,Administracion de Contratos,,BANCO BICE,BANCO COMERCIAL,COMPRAS,DTE_033_000003503224_97080000K.xml,3503224,Pago Vencido de renta de Arrendamiento Nº12 del contrato Nº34359-1,0.7000,Y,ADM-1.7,Bank contract administration fee on lease invoice; not a freight charge
OQ-00218,GRABADO DE PATENTE,GRABADO DE PATENTE,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,ESTACION DE SERVICIO,COMPRAS,DTE_033_000000558995_773753202.xml,558995,GRABADO DE PATENTE - GRABADO DE PATENTE,0.7000,Y,EXP-13.3,License plate engraving is mandatory vehicle security service; fits vehicle maintenance category.
OQ-00222,TRASLADO DE PERSONAL,DE FUTRONO A FUNDO MAITEN,CONSTRUCTORA DSL SPA,CONSTRUCCIONES EN OBRAS MENORES -TRANSPORTE DE CARGA -ARRIENDO MAQ.,COMPRAS,DTE_033_000000000179_771910769.xml,179,TRASLADO DE PERSONAL - DE FUTRONO A FUNDO MAITEN,0.8500,Y,EXP-15.3,Personnel transport from town to farm; EXP-15.3 covers traslados not assigned to other categories.
OQ-00231,traslado de oficina easy la union destino la union...materiales varios,,CRISTIAN MIGUEL MATAMALA NAVARRO,TRANSPORTE DE CARGA POR CARRETERA,COMPRAS,DTE_033_000000000507_168938373.xml,507,,0.8500,Y,EXP-15.3,Freight transport of office materials from hardware store; giro=transporte de carga.
OQ-00495,PAQUETE EXPRESS AM,,EMPRESAS DE CORREOS DE CHILE,Servicios Postales Nacionales e Internacionales,COMPRAS,DTE_034_000002985010_605030009.xml,2985010,,0.9000,Y,ADM-1.7,Postal express parcel from Correos de Chile; ADM-1.7 explicitly covers envios and encomiendas.
OQ-00497,Flete de insumos de Colun,a Futrono El Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000106_165563778.xml,106,Flete de insumos de Colun - a Futrono El Maitén,0.9000,Y,EXP-15.3,Freight of Colun farm inputs from origin to farm; transport company giro confirms flete.
OQ-00635,Flete de terneras,de Tineo al Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000100_165563778.xml,100,Flete de terneras - de Tineo al Maitén,0.9500,Y,EXP-15.3,2step_review
OQ-00646,Traslado de madera,,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000096_165563778.xml,96,,0.9500,Y,EXP-15.5,2step_review
OQ-00647,Flete Feria 07/10/2025,,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000092_165563778.xml,92,,0.9500,Y,EXP-15.5,2step_review
OQ-00652,Flete desde El Maiten a,feria Paillaco,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000101_165563778.xml,101,Flete desde El Maiten a - feria Paillaco,0.9000,N,,
OQ-00653,Traslado de terneros,de Raíces a Bramadero,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000087_165563778.xml,87,Traslado de terneros - de Raíces a Bramadero,0.9000,N,,
OQ-00655,Traslado de terneras,de Raices a El Maiten,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000086_165563778.xml,86,Traslado de terneras - de Raices a El Maiten,0.9000,N,,
OQ-00669,Flete de concentrado de,Raíces a Bramadero,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000099_165563778.xml,99,Flete de concentrado de - Raíces a Bramadero,0.9000,N,,
OQ-00688,LAVAPARABRISAS COPEC,LAVAPARABRISAS COPEC,DANIEL VILLAR Y CIA LTDA,ESTACION,COMPRAS,DTE_033_000000356665_786566800.xml,356665,Dsl - Dsl; LAVAPARABRISAS COPEC - LAVAPARABRISAS COPEC,0.2000,N,,
OQ-01204,Flete 15 vacas de Raices,A feria tattersal Rio bueno.,HECTOR RAUL MANCILLA LOPEZ,"TRANSPORTE DE CARGA,AGRICULTOR",COMPRAS,DTE_033_000000001968_105184204.xml,1968,Flete 15 vacas de Raices - A feria tattersal Rio bueno.,0.9500,Y,EXP-15.3,2step_review
OQ-01231,RECUPERACION GASTOS SAG,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,COMISION BOVINOS REPOSICION; RECUPERACION SANEAMIENTOS DECOMISOS; RECUPERACION OTROS INGRESOS,0.8500,N,,
OQ-01233,Segregador de ganado,Blitz-Kerner,CUIDATUVACA SPA,CRIA DE GANADO BOVINO PARA LA PRODUCCION LECHERA,COMPRAS,DTE_033_000000000601_776387495.xml,601,Segregador de ganado - Blitz-Kerner; Caja Fulm 380 AG - 50 unidades,0.7500,N,,
OQ-01235,Traslado de vacas desde,El Maitén a Feria Paillaco,JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,COMPRAS,DTE_033_000000000108_165563778.xml,108,Traslado de vacas desde - El Maitén a Feria Paillaco,0.9500,Y,EXP-15.3,2step_review
