candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01189,Arriendo abril 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004180_764503287.xml,4180,,0.9500,Y,EXP-15.5,2step_review
OQ-01190,Arriendo julio 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004490_764503287.xml,4490,,0.9500,Y,EXP-15.5,2step_review
OQ-01191,Arriendo mayo 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004302_764503287.xml,4302,,0.8500,Y,REJECT,2step_review
OQ-01192,Arriendo agosto 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004655_764503287.xml,4655,,0.8500,Y,REJECT,2step_review
OQ-01194,Arriendo enero 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000003867_764503287.xml,3867,,0.8500,Y,REJECT,2step_review
OQ-01195,Arriendo marzo 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004041_764503287.xml,4041,,0.8500,Y,EXP-15.5,2step_review
OQ-01196,Arriendo junio 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004412_764503287.xml,4412,,0.8500,Y,EXP-15.5,2step_review
OQ-01197,Arriendo Diciembre 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000005262_764503287.xml,5262,,0.8500,Y,EXP-15.5,2step_review
OQ-01198,Arriendo Enero 26,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000005429_764503287.xml,5429,,0.8500,Y,EXP-15.5,2step_review
OQ-01199,Arriendo febrero 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000003980_764503287.xml,3980,,0.8500,Y,EXP-15.5,2step_review
OQ-01200,Arriendo febrero 26,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000005531_764503287.xml,5531,,0.8500,Y,EXP-15.3,2step_review
OQ-01203,Arriendo Septiembre 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000004764_764503287.xml,4764,,0.9000,Y,REJECT,2step_review
