candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00042,Servicio prestado por el Servicio Agricola y Ganadero.,,SERVICIO AGRICOLA Y GANADERO,GIRO INSTITUCIONAL,COMPRAS,DTE_033_000000636359_613080007.xml,636359,,0.8500,Y,EXP-15.5,SAG government agricultural service; official farm regulatory service not agronomic consultancy
OQ-00048,Insumos Generales,,EMVI INGENIERÍA Y SOLUCIONES INDUSTRIALES SPA,INGENIERÍA Y SOLUCIONES INDUSTRIALES,COMPRAS,DTE_033_000000000137_775547499.xml,137,Asistencia Técnica - Rep. Sistema de Red DPNET Identificación Sala Rotativa; Gastos Operacionales - Segun Cotiz. N°195 Informe N°112,0.7500,Y,EXP-10.1,Insumos for repair of rotary dairy parlor DPNET identification system; sibling = shed repair work
OQ-00137,MAITEN SIEMBRA EMPAST.,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000033_779509370.xml,33,MAITEN FUMIGACION R VAG.; MAITEN FERTILIZACION MAP; BRAMADERO FUMIGACION RAP; BRAM. FERTILIZACION MAP; BRAM.FERTILIZACION UREA; TINEO FERTILIZACION MAP,0.7500,Y,EXP-8.1,MAITEN SIEMBRA EMPAST = pasture establishment sowing; EXP-15.5 explicitly excludes siembras
OQ-00155,SERVICIOS VARIOS,SERVICIOS VARIOS,Servicios Bergström Limitada,"ROTURACION, SIEMBRAS, RECOLEC, EMPACADO, TRILLA , OTROS SERVICIOS AGRICOLAS",COMPRAS,DTE_033_000000006228_774562605.xml,6228,HORSCH JOKER 7.5 M - HORSCH JOKER 7.5 M; SERVICIOS VARIOS - SERVICIOS VARIOS,0.8000,Y,EXP-15.5,Servicios varios from agricultural contractor; EXP-15.5 = unassigned ag contracts
OQ-00162,Servicio Siembra,,BENEDICTO NOLBERTO GUTIERREZ RIVERA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000441_111304254.xml,441,Servicio Fumigacion.; Servicio Fertilización,0.8500,Y,EXP-8.1,Siembra service; EXP-15.5 explicitly excludes siembras; perennial default for unspecified sowing
OQ-00254,OCTUBRE,SERVICIO DE CARRO PURINERO CORRESPONDIENTE A ( 36 CARROS X 11.000 LT),AGRÍCOLA RIBERAS DEL SAUCE SPA,AGRICOLA Y PRESTACION SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000670_773568596.xml,670,OCTUBRE - SERVICIO DE CARRO PURINERO CORRESPONDIENTE A ( 36 CARROS X 11.000 LT),0.9000,Y,EXP-15.5,Slurry cart service; purines explicitly listed under EXP-15.5 servicios agricolas.
OQ-00261,SIEMBRA,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000034_779509370.xml,34,LIMPIA RASTROJO; RANA; CULTIVO 3 PASAD. RASTRA; VIBRO; RODON; CULTIVO SILO RASTRA,0.9500,Y,EXP-8.4,Sowing service (siembra); EXP-15.5 explicitly excludes siembras; siblings show silo crop prep.
OQ-00264,YUTRECO PURINES,10 febrero 2026 46 carradas 11.000 lts lluvia y problema Motobomba,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000438_770531012.xml,438,YUTRECO PURINES - Fecha 6 febrero 21 carradas purines 11.000 lts c/u control pozo; YUTRECO PURINES - 10 febrero 2026 46 carradas 11.000 lts lluvia y problema Motobomba,0.9500,Y,EXP-15.5,Slurry transport service (purines); purines explicitly listed under EXP-15.5.
OQ-00336,SERVICIO EMERGENCIA FA,,HGS DAIRY SOLUTIONS SPA,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000026138_761757865.xml,26138,VIAJE TECNICO; HORA TECNICA AM,0.9500,Y,EXP-10.1,HGS Dairy emergency dairy equipment service + hour tecnica; shed maintenance not agricola service.
OQ-00619,Servicios prestados,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000176_76868328K.xml,176,,0.7000,Y,REJECT,Generic 'servicios prestados'; multi-activity provider; no description or sibling context.
OQ-00685,SERVICIOS EXTERNOS COMPUTACIONALES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004899140_823926006.xml,4899140,SFF DELL OPTIPLEX 7020 I5-14500 8GB 512G,0.2500,Y,ADM-1.10,wave2_review
OQ-01060,Nombre ítem 1,,SOCIEDAD PANEBRA E HIJOS SPA,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS,COMPRAS,DTE_033_000000000534_776756253.xml,534,,0.7500,Y,EXP-15.3,wave2_review
OQ-01126,SIEMBRA VEGA 1- MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000055_779509370.xml,55,TORDON-MAITEN; TORDON Y ZERO - MAITEN; TORDON -MAITEN; SMART BLUE - MAITEN; QUEMA VEGA 1 - MAITEN; SIEMBRA SALA - MAITEN,0.1000,Y,EXP-15.5,wave2_review
OQ-01616,KM Y TRASLADO PEAJES,,SOCIEDAD TOROYO LTDA,ACTIVIDADES DE APOYO A LA AGRICULTURA,COMPRAS,DTE_033_000000012439_761491156.xml,12439,Eurodiesel plus 15W40 CK4 19 lts; CAÑERIA DE INYECCION; REPARACION INYECTORES MANTENCION; REPARACION BOMBAS ELEVACION; FILTRO ACEITE DE MOTOR; FILTRO DE COMBUSTIBLE,0.9500,Y,EXP-11.4,2step_review
OQ-01853,"BROCHA 3"" CERDA GRIS ECONOMICA",,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.5500,Y,EXP-15.3,wave2_review
OQ-01854,CLAVO DE 4 OFERTA,,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; BROCHA 3"" CERDA GRIS ECONOMICA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.6000,Y,EXP-15.3,wave2_review
