candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00969,ARNES 3 ARGOLLAS T/XL,,MARYUN SEGURIDAD INDUSTRIAL SPA,VENTAS DE PRODUCTOS DE SEGURIDAD INDUSTRIAL Y ARTICULOS DE OFICINA,COMPRAS,DTE_033_000000882908_770847303.xml,882908,CABO DE VIDA PERLON 1.80 M MOSQ.ESCALA,0.8500,N,,
OQ-01003,BUZO COVERALL- G BLANCO T XL,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,DISTRIBUCION DE ARTICULOS DE SEGURIDAD,COMPRAS,DTE_033_000003388284_868872004.xml,3388284,GUANTE CABRITILLA SIN FORRO TIPO A; LENTE 3M VIRTUA CCS SELLADO CLARO AF 3M 11872-20,0.9000,N,,
OQ-01099,INSUMO TALLER GUANTES BUZOS ETC,,SOCIEDAD TOROYO LTDA,ACTIVIDADES DE APOYO A LA AGRICULTURA,COMPRAS,DTE_033_000000012439_761491156.xml,12439,Eurodiesel plus 15W40 CK4 19 lts; KM Y TRASLADO PEAJES; CAÑERIA DE INYECCION; REPARACION INYECTORES MANTENCION; REPARACION BOMBAS ELEVACION; FILTRO ACEITE DE MOTOR,0.9500,N,,
OQ-01143,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL FEBRERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,COMPRAS,DTE_033_000000000414_770642981.xml,414,PREVENCION DE RIESGOS - CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL FEBRERO,0.9000,N,,
OQ-01654,TRAJE AGUA PU GEOLITE TALLA L,TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA L,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029586719_810941006.xml,29586719,BOTA BEKINA STEPLITE PUNTA ACERO N° 42 - BOTA BEKINA STEPLITE PUNTA ACERO N° 42; BOTA BEKINA STEPLITE PUNTA ACERO N° 37 - BOTA BEKINA STEPLITE PUNTA ACERO N° 37; BOTA BEKINA STEPLITE PUNTA ACERO N° 45 - BOTA BEKINA STEPLITE PUNTA ACERO N° 45; OVEROLES GABARDINA TALLA L - OVEROLES GABARDINA TALLA L; TRAJE AGUA PU GEOLITE TALLA L - TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA L; TRAJE AGUA PU GEOLITE TA,0.9500,N,,
OQ-01660,TRAJE AGUA PU GEOLITE TALLA XXL,TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA XXL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029586719_810941006.xml,29586719,BOTA BEKINA STEPLITE PUNTA ACERO N° 42 - BOTA BEKINA STEPLITE PUNTA ACERO N° 42; BOTA BEKINA STEPLITE PUNTA ACERO N° 37 - BOTA BEKINA STEPLITE PUNTA ACERO N° 37; BOTA BEKINA STEPLITE PUNTA ACERO N° 45 - BOTA BEKINA STEPLITE PUNTA ACERO N° 45; OVEROLES GABARDINA TALLA L - OVEROLES GABARDINA TALLA L; TRAJE AGUA PU GEOLITE TALLA L - TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA L; TRAJE AGUA PU GEOLITE TA,0.9500,N,,
OQ-01663,TRAJE AGUA PU GEOLITE TALLA M,TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA M,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029586719_810941006.xml,29586719,BOTA BEKINA STEPLITE PUNTA ACERO N° 42 - BOTA BEKINA STEPLITE PUNTA ACERO N° 42; BOTA BEKINA STEPLITE PUNTA ACERO N° 37 - BOTA BEKINA STEPLITE PUNTA ACERO N° 37; BOTA BEKINA STEPLITE PUNTA ACERO N° 45 - BOTA BEKINA STEPLITE PUNTA ACERO N° 45; OVEROLES GABARDINA TALLA L - OVEROLES GABARDINA TALLA L; TRAJE AGUA PU GEOLITE TALLA L - TRAJE AGUA PU ANTIACIDO VD GEOLITE TALLA L; TRAJE AGUA PU GEOLITE TA,0.9000,N,,
OQ-01841,BUZO VETERINARIO IMPERMEABLE VERDE -MIGUEL DIAZ_XXL___,MIGUEL DIAZ_XXL___,FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS,COMPRAS,DTE_033_000001580953_967895202.xml,1580953,BUZO VETERINARIO IMPERMEABLE VERDE -MIGUEL DIAZ_XXL___ - MIGUEL DIAZ_XXL___,0.9500,N,,
OQ-01842,BUZO VETERINARIO 1 PIEZA TALLA 50,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005161836_823926006.xml,5161836,TORDON 101 ( 4 L.) - Usted esta transportando sustancias peligrosas de emergencias comunicarse con C,0.9500,N,,
OQ-01843,BUZO VETERINARIO 1 PIEZA TALLA 52,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005190315_823926006.xml,5190315,"TRAJE AGUA POLIURETANO 0,55MM T-L",0.9500,N,,
OQ-01856,"PERNOS HEX. PU G-2 NC 1/2 X 2""",,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; BROCHA 3"" CERDA GRIS ECONOMICA; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.8500,N,,
OQ-01857,TUERCA HEX. PU G-2 NC 1/2,,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; BROCHA 3"" CERDA GRIS ECONOMICA; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.8500,N,,
OQ-01858,"GOLILLA PLAN.CORRI. 1/2"" (69X1K)",,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; BROCHA 3"" CERDA GRIS ECONOMICA; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2",0.8500,N,,
OQ-01859,"AMARRA PLASTICA 7,5 X 500 MM",,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"DILUYENTE SINTETICO 1 LT.; BROCHA 3"" CERDA GRIS ECONOMICA; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2",0.8500,N,,
OQ-01861,BUZO VETERINARIO 1 PIEZA TALLA 54,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005016383_823926006.xml,5016383,BOTAS DUNLOP THERMO+ # 39-40 (-40 C); BUZO VETERINARIO 1 PIEZA TALLA 50,0.9500,N,,
OQ-01877,BROCA KOCH 2000 13MM CIL. HSS HELA,,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000288674_760681407.xml,288674,"HILOS X METRO G-2 NC 1/2"" 13 HILOS; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.7500,N,,
OQ-01886,BUZO VETERINARIO 1 PIEZA TALLA 56,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005095534_823926006.xml,5095534,TIJERA CORTADORA COLAS 205606,0.9500,N,,
OQ-02045,COLLAR CON CIERRE L1350 COW 10 PCS,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024726_761757865.xml,24726,CASQUILLO DE QUITA Y PON N3(10pcs),0.9500,N,,
OQ-02047,PINT. MARCAJE ANIMAL VERDE FLUOR 1GL,,PINTURAS BARENDS SpA,VENTA Y DISTRIBUCION DE PINTURAS-HERRAMIENTAS Y ARTIC. DE FERRETERIA,COMPRAS,DTE_033_000000129930_766848613.xml,129930,,0.9000,N,,
OQ-02072,DYNALEUM-L - DYNAL GLN,DYNALEUM-L - DYNAL GLN,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001159126_770711002.xml,1159126,"DYNALEUM-L - DYNAL GLN - DYNALEUM-L - DYNAL GLN; MSD CEPILLADO 1X8"" X 3,20 MT - MSD CEPILLADO 1X8"" X 3,20 MT",0.7500,N,,
OQ-02073,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001158729_770711002.xml,1158729,JUEGO DUCHA EUROSPRAY CROMO - DUSCHY - JUEGO DUCHA EUROSPRAY CROMO - DUSCHY; LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK - LAVAPLATO 0.80 X 0.50 MT 1C/1E DER.P/MONOBLOCK; MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHOC - MUEBLE LAVAPLATOS DERECHO 80X50X81 CM COIGUE/CHO; MONOMANDO LAVAPLATO VERT. PLUMBER CINCINNATI MOSAICO 20CI5603000 - MONOMANDO LAVAPLATO VERT. PLUMBER; SIFON LOA S/C ENTRADA ,0.8000,N,,
OQ-02079,OTROS INSUMOS. Grasa y materiales de aseo.,OTROS INSUMOS. Grasa y materiales de aseo.,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_033_000000018886_760703753.xml,18886,CORREA ENTREGA LATERAL RF - CORREA ENTREGA LATERAL RF; UNION ALAMBRE CORREA LATERAL (0.95METROS) - UNION ALAMBRE CORREA LATERAL (0.95METROS); RODAMIENTO RODILLO AUXILIAR BANDEJA RF 6206 - RODAMIENTO RODILLO AUXILIAR BANDEJA RF 6206; RODAMIENTO RODILLO MOTOR BANDEJA RF 25MM - RODAMIENTO RODILLO MOTOR BANDEJA RF 25MM; ROD INT MASA RF 11/13 - ROD INT MASA RF 11/13; ROD EXT MASA RF 11/13 - ROD EXT MAS,0.8000,N,,
OQ-02180,PECHERA CUERO PARRILLA CLARO,,SODIMAC S.A.,DISTRIBUIDORA DE MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000144505770_96792430K.xml,144505770,TUBO PVC HIDR 20MM 3MT PN16CEM; PACK 10 ESTACA SOLAR ACERO INO; AMPOLLETA LED VEL 3.5W-25W E14; JUEGO MANGUERA 18M C/ ACC EU; ALARG 4T + 2 USB SILIC BC 3M; BOLSA BASURA ROLLO120X130 5U,0.7500,N,,
OQ-02219,CASQUILLO DE QUITA Y PON N3(10pcs),,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024726_761757865.xml,24726,COLLAR CON CIERRE L1350 COW 10 PCS,0.7500,N,,
OQ-02523,DESODORANTE PINOS - CEREZA,DESODORANTE PINOS - CEREZA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029966900_810941006.xml,29966900,GUANTE LARGO NITRILO S SHOOF 204629 - GUANTE LARGO NITRILO S MARCA SHOOF; GUANTE LARGO NITRILO L SHOOF 204627 - GUANTE LARGO NITRILO L MARCA SHOOF; GUANTE LARGO NITRILO XL SHOOF 204630 - GUANTE LARGO NITRILO XL MARCA SHOOF; GUANTE LARGO NITRILO M SHOOF 204628 - GUANTE LARGO NITRILO M MARCA SHOOF; OXITOCINA FCO. 100 CC RECALCINE - OXITOCINA 100 CC; FEBRECTAL BOVINO X 50 CC - FEBRECTAL BOVINO X 50 C,0.9000,N,,
OQ-02556,Ñ-CURVA SANITARIA GRIS 40 X 45 -@,Ñ-CURVA SANITARIA GRIS 40 X 45 -@,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000244615_66554732.xml,244615,CERR11-CERRAD SOBREP 2010 CHILENA PUERTA 129831 -@ - CERR11-CERRAD SOBREP 2010 CHILENA PUERTA 129831; BISAGRA PROFESIONAL ACERO INOX. 3X3X2MM 2UNID INOXCROM-@ - BISAGRA PROFESIONAL ACERO INOX. 3X3X2MM 2; CLAVO VOLCANITA KG -@ - CLAVO VOLCANITA KG -@; ESMALTE AL AGUA ACRYFOL BLANCO GALON ALGIFOL -@ - ESMALTE AL AGUA ACRYFOL BLANCO GALON ALGIFOL -@; PL-TEE 1 PLANSA -@ - PL-TEE 1 PLANSA -@; PL-TERMIN,0.8500,N,,
