candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00341,"LAVAPARABRISAS, 5LT","LAVAPARABRISAS, 5LT",DANIEL VILLAR Y CIA LTDA,ESTACION,COMPRAS,DTE_033_000000386297_786566800.xml,386297,"Gasolina 93 - Gasolina 93; LAVAPARABRISAS, 5LT - LAVAPARABRISAS, 5LT",0.8500,Y,EXP-13.3,"Windshield washer fluid from gas station, sibling is gasoline — vehicle maintenance supply."
OQ-00343,LIJA MADERA GRANO 180,LIJA MADERA GRANO 180,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000206087_66554732.xml,206087,COLA FRIA MADERA POTE 1 2KG AGOREX -@ - COLA FRIA MADERA POTE 1 2KG AGOREX -@; LIJA MADERA GRANO 180 - LIJA MADERA GRANO 180,0.7500,Y,EXP-14.4,Sandpaper + wood glue = woodwork/carpentry repair of farm building; EXP-14.4 includes materiales mantenciones.
OQ-00344,PAQUETE EXPRESS AM,,EMPRESAS DE CORREOS DE CHILE,Servicios Postales Nacionales e Internacionales,COMPRAS,DTE_034_000002985010_605030009.xml,2985010,,0.6000,Y,ADM-1.7,Courier/parcel service (encomienda) from Correos de Chile; ADM-1.7 explicitly lists envios y encomienda.
OQ-01127,Consumo,,CUADRIL SPA,"RESTAURANT, BAR, PROCESAMIENTO DE ALIMENTOS",COMPRAS,DTE_033_000000001105_777728083.xml,1105,,0.7500,N,,
OQ-01577,"AGUA MAS S GAS 1.6LT, MANZANA",2.0 x 1 UN $1320 Bruto/$1023.5 Neto,RENDIC HERMANOS S.A.,"GRANDES ESTABLECIMIENTOS (VENTA DE ALIMENTOS), HIPERMERCADOS",COMPRAS,DTE_033_000043287292_815376005.xml,43287292,"AGUA MAS S GAS 1.6LT, GRANADA - 1.0 x 1 UN $1320 Bruto/$1023.0 Neto; AGUA MAS S GAS 1.6LT, MANZANA - 2.0 x 1 UN $1320 Bruto/$1023.5 Neto; AGUA MAS S GAS 1.6LT, PERA - 2.0 x 1 UN $1320 Bruto/$1023.0 Neto; FRUTA COLACION BOLSA 1.5 KG - 2.0 x 1 UN $2190 Bruto/$1840.5 Neto; NARANJA MALLA 2 KG - 1.0 x 1 UN $2490 Bruto/$2092.0 Neto; MANI TOSTADO SIN SAL TENTO 300 GR. - 2.0 x 1 UN $1890 Bruto/$1588.0 Net",0.8500,N,,
OQ-01578,CARTUCHO GAS BUTANO C/VALVULA SEG. 190GRS YANES 610000585671,,ELECTROCOM S.A.,VENTA DE MATERIALES ELECTRICOS Y CONSTRUCCION,COMPRAS,DTE_033_000006524398_963550006.xml,6524398,TUBO CONDUIT 20X3 MTS 4422 FUERTE CEM 746747670310; CURVA CONDUIT 20 MM 746747668829; TERMINAL CONDUIT CON T/PVC 20 MM 0746747669901; CAJA CORRIENTE NEGRA HORMIGON 12 ENT. ZAMA CAJA6; CABLE LIBRE DE HALOGENO H07Z1-K 2.5MM ROJO ASCABLE 333820040163; CABLE LIBRE DE HALOGENO H07Z1-K 2.5MM BLANCO ASCAB 333820040263,0.8000,N,,
OQ-01597,"AGUA MAS S GAS 1.6LT, GRANADA",1.0 x 1 UN $1320 Bruto/$1023.0 Neto,RENDIC HERMANOS S.A.,"GRANDES ESTABLECIMIENTOS (VENTA DE ALIMENTOS), HIPERMERCADOS",COMPRAS,DTE_033_000043287292_815376005.xml,43287292,"AGUA MAS S GAS 1.6LT, GRANADA - 1.0 x 1 UN $1320 Bruto/$1023.0 Neto; AGUA MAS S GAS 1.6LT, MANZANA - 2.0 x 1 UN $1320 Bruto/$1023.5 Neto; AGUA MAS S GAS 1.6LT, PERA - 2.0 x 1 UN $1320 Bruto/$1023.0 Neto; FRUTA COLACION BOLSA 1.5 KG - 2.0 x 1 UN $2190 Bruto/$1840.5 Neto; NARANJA MALLA 2 KG - 1.0 x 1 UN $2490 Bruto/$2092.0 Neto; MANI TOSTADO SIN SAL TENTO 300 GR. - 2.0 x 1 UN $1890 Bruto/$1588.0 Net",0.8500,N,,
OQ-01598,"AGUA MAS S GAS 1.6LT, PERA",2.0 x 1 UN $1320 Bruto/$1023.0 Neto,RENDIC HERMANOS S.A.,"GRANDES ESTABLECIMIENTOS (VENTA DE ALIMENTOS), HIPERMERCADOS",COMPRAS,DTE_033_000043287292_815376005.xml,43287292,"AGUA MAS S GAS 1.6LT, GRANADA - 1.0 x 1 UN $1320 Bruto/$1023.0 Neto; AGUA MAS S GAS 1.6LT, MANZANA - 2.0 x 1 UN $1320 Bruto/$1023.5 Neto; AGUA MAS S GAS 1.6LT, PERA - 2.0 x 1 UN $1320 Bruto/$1023.0 Neto; FRUTA COLACION BOLSA 1.5 KG - 2.0 x 1 UN $2190 Bruto/$1840.5 Neto; NARANJA MALLA 2 KG - 1.0 x 1 UN $2490 Bruto/$2092.0 Neto; MANI TOSTADO SIN SAL TENTO 300 GR. - 2.0 x 1 UN $1890 Bruto/$1588.0 Net",0.8500,N,,
OQ-01666,TIERRA ROJO PRIMERA BOLSA 1KG.,,SODIMAC S.A.,DISTRIBUIDORA DE MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000139457251_96792430K.xml,139457251,HOJA S CIRC 10CTE MADERA 60D,0.8500,N,,
OQ-02050,BASURERO CON PEDAL 30LTS - CHILEMAT,BASURERO CON PEDAL 30LTS - CHILEMAT,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001137181_770711002.xml,1137181,"UNION RAPIDA P/LLAVE HE 3/4"" - UNION RAPIDA P/LLAVE HE 3/4""; REPARADOR MANGUERA 1/2"" - REPARADOR MANGUERA 1/2""; UNION LLAVE HI 189202 1/2 X 3/4"" - UNION LLAVE HI 189202 1/2 X 3/4""; CONECTOR RAPIDO MANGUERA 1/2"" - CONECTOR RAPIDO MANGUERA 1/2""; TORNILLO MADERA AGLOMERADA 3.5 X 25 MM - TORNILLO MADERA AGLOMERADA 3.5 X 25 MM; TORNILLO VOLCANITA NEGRO"" ( 100 UNID.) 1"" - TORNILLO VOLCANITA NEGRO"" ( 100",0.8500,N,,
