candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01243,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO YUTRECO,BIOGENESIS ANIMAL HEALTH SPA,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS,COMPRAS,DTE_033_000000009530_761804944.xml,9530,COW GUARD BARRERA 210KG - PRODUCTO ENTREGADO FDO YUTRECO,0.7500,N,,
OQ-01852,DILUYENTE SINTETICO 1 LT.,,FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS",COMPRAS,DTE_033_000000287026_760681407.xml,287026,"BROCHA 3"" CERDA GRIS ECONOMICA; CLAVO DE 4 OFERTA; ANTICORROSIVO ESTRUCT.1GL NEGRO; PERNOS HEX. PU G-2 NC 1/2 X 2""; TUERCA HEX. PU G-2 NC 1/2; GOLILLA PLAN.CORRI. 1/2"" (69X1K)",0.6000,N,,
OQ-01880,AGUJA HIPOD. DESECHABLE 21 G X 1,,COVEPA SpA,"Comercializacion de productos veterinarios, agricolas, maquinarias, ferreterias,",COMPRAS,DTE_033_000005096654_889098007.xml,5096654,,0.8500,N,,
OQ-02002,ADHESIVO VINILIT 240CC.SECADO LENTO,,COMERCIAL CLIMENT SPA,"Venta al por mayor de Materiales de Construccion,",COMPRAS,DTE_033_000000663590_864906001.xml,663590,"* MT.X TIRA PVC-SANITARIO GRIS 40MM ""OFERTA""; TEE SO HI 1/2""; TERMINAL SO HI 1/2""; TEE PVC-SANIT.GRIS 110 X 40MM; CODO PVC-SANIT.GRIS 110MM X 45§; CODO PVC-SANIT.GRIS 40MM X 90§",0.8500,N,,
OQ-02003,ADHESIVO VINILIT 240CC.SECADO RAPIDO,,COMERCIAL CLIMENT SPA,"Venta al por mayor de Materiales de Construccion,",COMPRAS,DTE_033_000000664372_864906001.xml,664372,"CURVA GALVANIZADA HI HE 2""; FRASCO LUBRICANTE HOFFENS 1/2KG.*OFERTA*; CODO PVC-H CEM 110MM X 90§; TEE PVC-H CEM 110MM.; TAPON GORRO PVC-H CEM. 110MM.; CAMLOCK ACOPLE MACHO TIPO-A HI 2""",0.8500,N,,
OQ-02004,"ADHESIVO PVC ""HOFFENS"" SECADO RAPIDO C/APLICADOR 240CC","ADHESIVO PVC ""HOFFENS"" SECADO RAPIDO C/APLICADOR 240CC",COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001157703_770711002.xml,1157703,TUBO DRENAJE FLEXADREN 100 MM PETROFLEX - TUBO DRENAJE FLEXADREN 100 MM PETROFLEX; TAPA CANALETA UNIVERSAL ARENA P25 - VINILIT - TAPA CANALETA UNIVERSAL ARENA P25 - VINILIT; BAJADA CEMENTAR ARENA P25 - VINILIT - BAJADA CEMENTAR ARENA P25 - VINILIT; UNION CANALETA ARENA P25- VINILIT - UNION CANALETA ARENA P25- VINILIT; GANCHO FIJACION TRADICIONAL ARENA P25 - VINILIT - GANCHO FIJACION TRADICIONAL AR,0.8500,N,,
OQ-02011,ADHESIVO PVC LATA SECADO RAPIDO 60CC HOFFENS 51647 @,ADHESIVO PVC LATA SECADO RAPIDO 60CC HOFFENS 51647 @,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000229761_66554732.xml,229761,-COPLA CEM 20 MM -@ - -COPLA CEM 20 MM -@; ADHESIVO PVC LATA SECADO RAPIDO 60CC HOFFENS 51647 @ - ADHESIVO PVC LATA SECADO RAPIDO 60CC HOFFENS ; -CODO 20 MM CEM -@ - -CODO 20 MM CEM -@; LIJA FIERRO GRANO 80 -@ - LIJA FIERRO GRANO 80 -@,0.8500,N,,
OQ-02048,Disco recorte Dr Borkert 4 cuchillas redondas,,BORKERT Y COMPANIA LIMITADA,"ASE,CAP,ATEN MED.VET.Y COMERC.DE MEDIC.E INSUMOS MEDICOS Y AGRICOLA",COMPRAS,DTE_033_000000002743_760610232.xml,2743,,0.8500,N,,
OQ-02049,Brete especial,Fabricación de brete bovino para tratamiento de cojera. Incluye cinco huinches manuales de doble freno para operaciones de levante y tensión. Compuerta trasera con doble portalón de seguridad. Piso metálico con goma ganadera antideslizante. Compuerta delantera con trabas metálicas manuales y vértices semi circulares,MAURICIO SEPULVEDA GUZMAN MAESTRANZA E.I.R.L.,"FABRICA ARTICULOS METALICOS Y REPARACION MAQ , AGROPECUARIA Y FORESTAL",COMPRAS,DTE_033_000000000576_767201990.xml,576,Brete especial - Fabricación de brete bovino para tratamiento de cojera. Incluye cinco huinches manu,0.9000,N,,
OQ-02536,PINTURA SPRAY FIL AZUL -_AZUL___,_AZUL___,FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS,COMPRAS,DTE_033_000001564764_967895202.xml,1564764,"REACTIVO CMT G2 -G2 DAIRY CARE CHILE_ 1 LT.___ - G2 DAIRY CARE CHILE_ 1 LT.___; PINTURA SPRAY FIL AZUL -_AZUL___ - _AZUL___; PINTURA SPRAY FIL ROJO -_ROJO___ - _ROJO___; ALCOHOL X 1 LT. -__1lt__ - __1lt__; AGUJA DESECHABLE -_18G 1""___ - _18G 1""___; FEBRECTAL BOVINO X 50 ML. -____ - ____",0.8500,N,,
