candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01092,MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000311_769874577.xml,311,FERTILIZACION,0.7500,N,,
OQ-02388,CONFECCION BOLOS PELLECO,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000308_769874577.xml,308,,0.8000,N,,
OQ-02389,FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO,ROLLO 1500 MT|,Tattersall AgroInsumos S.A.,Distribución de Insumos y Maquinaria Agrícola,COMPRAS,DTE_033_000000660820_967754005.xml,660820,FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO - ROLLO 1500 MT|,0.7500,N,,
OQ-02390,CONFECCION BOLOS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000310_769874577.xml,310,,0.8500,N,,
OQ-02393,CONFECCIÓN BOLOS PRADERA,CONFECCIÓN bolos 196 totales,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000339_770531012.xml,339,CONFECCIÓN BOLOS PRADERA - CONFECCIÓN bolos 196 totales,0.9000,N,,
OQ-02394,FILM BOLOS -Barbier Blanco__1500 M__,Barbier Blanco__1500 M__,FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS,COMPRAS,DTE_033_000001485639_967895202.xml,1485639,FILM BOLOS -Barbier Blanco__1500 M__ - Barbier Blanco__1500 M__,0.8000,N,,
OQ-02397,SERVICIO CONFECCION BOLOS,,AGRÍCOLA RIBERAS DEL SAUCE SPA,AGRICOLA Y PRESTACION SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000477_773568596.xml,477,,0.8500,N,,
OQ-02407,FUNDO RAICES,CONFECCION BOLOS. TOTAL BOLOS 50 EN 15 HA 3.3 BOLOS POR HA. VALOR HA 120.000 VALOR BOLO 12.000 SIN INSUMOS,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000412_770531012.xml,412,FUNDO RAICES - CONFECCION BOLOS. TOTAL BOLOS 50 EN 15 HA 3.3 BOLOS POR HA. VALOR HA 120.000 VALOR BO; FUNDO PELLECO - CONFECCION BOLOS. TOTAL 350 BOLOS EN 50 HA. 7 BOLOS POR HA. VALOR HA 152.000 VALOR B,0.9800,N,,
OQ-02408,FUNDO PELLECO,CONFECCION BOLOS. TOTAL 350 BOLOS EN 50 HA. 7 BOLOS POR HA. VALOR HA 152.000 VALOR BOLO 12.000 SIN INSUMOS,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000412_770531012.xml,412,FUNDO RAICES - CONFECCION BOLOS. TOTAL BOLOS 50 EN 15 HA 3.3 BOLOS POR HA. VALOR HA 120.000 VALOR BO; FUNDO PELLECO - CONFECCION BOLOS. TOTAL 350 BOLOS EN 50 HA. 7 BOLOS POR HA. VALOR HA 152.000 VALOR B,0.9800,N,,
OQ-02411,CONFECCION DE BOLOS,CONFECCION DE BOLOS FUNDO RAICES. TOTAL BOLOS 157 EN 25 HA. 6.28 BOLOS POR HA. VALOR HA 132.000 VALOR BOLO 12.000 SIN INSUMOS (2),SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000418_770531012.xml,418,CONFECCION DE BOLOS - CONFECCION DE BOLOS FUNDO RAICES. TOTAL BOLOS 157 EN 25 HA. 6.28 BOLOS POR HA.,0.9500,N,,
OQ-02412,YUTRECO COMFECCION BOLOS,"12 NOVIEMBRE SALA YUTRECO POTREROS 21-30-4-43 TOTAL BOLOS 49 EN 12HA. 4 bolos por ha, valor ha : 122.000xha",SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000423_770531012.xml,423,YUTRECO COMFECCION BOLOS - 12 NOVIEMBRE SALA YUTRECO POTREROS 21-30-4-43 TOTAL BOLOS 49 EN 12HA. 4 b; ARRIENDO CHAPILCAHUIN - CONFECCION BOLOS ARRIENDO TOTAL 278 COBRO POR BOLO 18.500; FUNDO RAICES - CONFECCION BOLOS RAICES 283 COBRO POR BOLOS 18.500; YUTRECO SALA - 21 NOVIEMBRE BOLOS SALA POTREROS 1-19-23 total 18ha bolos 101 serian 6 bolos xha valo,0.9500,N,,
OQ-02413,ARRIENDO CHAPILCAHUIN,CONFECCION BOLOS ARRIENDO TOTAL 278 COBRO POR BOLO 18.500,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000423_770531012.xml,423,YUTRECO COMFECCION BOLOS - 12 NOVIEMBRE SALA YUTRECO POTREROS 21-30-4-43 TOTAL BOLOS 49 EN 12HA. 4 b; ARRIENDO CHAPILCAHUIN - CONFECCION BOLOS ARRIENDO TOTAL 278 COBRO POR BOLO 18.500; FUNDO RAICES - CONFECCION BOLOS RAICES 283 COBRO POR BOLOS 18.500; YUTRECO SALA - 21 NOVIEMBRE BOLOS SALA POTREROS 1-19-23 total 18ha bolos 101 serian 6 bolos xha valo,0.9500,N,,
