candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-02235,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000548_119206855.xml,548,Diferencia de bolos,0.8000,Y,EXP-4.2,wave2_review
OQ-02242,BOLOS PASTO SECO PELLECO,392 bolos pasto seco,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000439_770531012.xml,439,BOLOS SILO CHAPILCAHUIN - 20 bolos silo empastadas arriendo; BOLOS PASTO SECO PELLECO - 392 bolos pasto seco; BOLOS PASTO SECO RAICES - BOLOS RAICES ARRIENDO 225,0.9800,Y,EXP-4.3,2step_review
OQ-02243,BOLOS PASTO SECO RAICES,BOLOS RAICES ARRIENDO 225,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000439_770531012.xml,439,BOLOS SILO CHAPILCAHUIN - 20 bolos silo empastadas arriendo; BOLOS PASTO SECO PELLECO - 392 bolos pasto seco; BOLOS PASTO SECO RAICES - BOLOS RAICES ARRIENDO 225,0.9800,Y,EXP-4.3,2step_review
OQ-02245,Confección de bolos.,En pasto seco,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000500_119206855.xml,500,Confección de bolos. - En pasto seco,0.9800,Y,EXP-5.4,2step_review
OQ-02246,Confección de bolos,Pasto seco en campo raíces,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000502_119206855.xml,502,Confección de bolos - Pasto seco en campo raíces; Mínimo de bolos,0.9500,Y,EXP-4.2,2step_review
OQ-02247,Maxxifardos Trigo,,SERVICIOS AGRICOLAS MECANIZADOS SPA,SERVICIOS DE CORTE Y ENFARDADO DE FORRAJE,COMPRAS,DTE_033_000000001345_762807599.xml,1345,,0.9000,Y,EXP-4.1,wave2_review
OQ-02249,Maxxifardos,,SERVICIOS AGRICOLAS MECANIZADOS SPA,SERVICIOS DE CORTE Y ENFARDADO DE FORRAJE,COMPRAS,DTE_033_000000001348_762807599.xml,1348,Maxxifardos Trigo,0.9000,Y,EXP-4.2,wave2_review
OQ-02260,PARCHE SILO BOLO,PARCHE SILO BOLO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029693596_810941006.xml,29693596,PARCHE SILO BOLO - PARCHE SILO BOLO,0.9000,Y,EXP-4.2,wave2_review
OQ-02262,BOLOS MAITEN,Primera vuelta 199 bolos,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000430_770531012.xml,430,BOLOS MAITEN - Primera vuelta 199 bolos; BOLOS FUTRONO - Bolos futrono 149; BOLOS MAITEN 2DA VUELTA - 6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,0.9800,Y,EXP-4.3,2step_review
OQ-02263,BOLOS FUTRONO,Bolos futrono 149,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000430_770531012.xml,430,BOLOS MAITEN - Primera vuelta 199 bolos; BOLOS FUTRONO - Bolos futrono 149; BOLOS MAITEN 2DA VUELTA - 6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,0.9800,Y,EXP-4.3,2step_review
