candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-02244,Fardos Paja de Trigo,"Según Guía Despacho 576, 577, 578 Fundo El Maitén",SERVICIOS AGRICOLAS OSORNO SPA,"SERVICIOS AGRICOLAS,COSECHA, SIEMBRA",COMPRAS,DTE_033_000000001770_767614071.xml,1770,"Bolos Paja de Trigo - Según Guía Despacho 573, 574, 575,579, 580; Fardos Paja de Trigo - Según Guía Despacho 576, 577, 578 Fundo El Maitén",0.9500,Y,EXP-5.3,2step_review
OQ-02251,Maxxifardos Trigo,,SERVICIOS AGRICOLAS MECANIZADOS SPA,SERVICIOS DE CORTE Y ENFARDADO DE FORRAJE,COMPRAS,DTE_033_000000001355_762807599.xml,1355,,0.8500,Y,EXP-4.2,wave2_review
OQ-02252,KILOS PAJA DE TRIGO,CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,AGRICOLA LAS LOMAS LIMITADA,AGRICOLA,COMPRAS,DTE_033_000000002077_897562006.xml,2077,KILOS PAJA DE TRIGO - CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,0.9000,Y,EXP-5.4,wave2_review
OQ-02441,Acompañamiento,,HSV SPA,"CULTIVO, COMPRA Y VENTA DE ALIMENTOS AGRICOLAS Y TERAPIAS NATURALES.",COMPRAS,DTE_033_000000000185_77991139K.xml,185,,0.8500,Y,EXP-15.3,wave2_review
OQ-02274,BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000439_770531012.xml,439,BOLOS SILO CHAPILCAHUIN - 20 bolos silo empastadas arriendo; BOLOS PASTO SECO PELLECO - 392 bolos pasto seco; BOLOS PASTO SECO RAICES - BOLOS RAICES ARRIENDO 225,0.9000,Y,EXP-4.2,wave2_review
OQ-02374,BOLOS PELLECO EMPASTADA,Bolos sector pelleco 73 bolos silo,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000440_770531012.xml,440,BOLOS PELLECO EMPASTADA - Bolos sector pelleco 73 bolos silo; BOLOS CHAPILCAHUIN - Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total ; BOLOS SILO RAICES F2 - Bolos silo f2 22 bolos en 6 ha total,0.9500,Y,EXP-4.2,wave2_review
OQ-02276,BOLOS CHAPILCAHUIN,"Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total 7 ha, cobro por ha 16 reales 42 ficticios.",SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000440_770531012.xml,440,BOLOS PELLECO EMPASTADA - Bolos sector pelleco 73 bolos silo; BOLOS CHAPILCAHUIN - Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total ; BOLOS SILO RAICES F2 - Bolos silo f2 22 bolos en 6 ha total,0.9500,Y,EXP-5.4,2step_review
OQ-02277,BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000440_770531012.xml,440,BOLOS PELLECO EMPASTADA - Bolos sector pelleco 73 bolos silo; BOLOS CHAPILCAHUIN - Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total ; BOLOS SILO RAICES F2 - Bolos silo f2 22 bolos en 6 ha total,0.9500,Y,EXP-5.4,2step_review
OQ-02278,Bolos Paja de Trigo,"Según Guía Despacho 573, 574, 575,579, 580",SERVICIOS AGRICOLAS OSORNO SPA,"SERVICIOS AGRICOLAS,COSECHA, SIEMBRA",COMPRAS,DTE_033_000000001770_767614071.xml,1770,"Bolos Paja de Trigo - Según Guía Despacho 573, 574, 575,579, 580; Fardos Paja de Trigo - Según Guía Despacho 576, 577, 578 Fundo El Maitén",0.9500,Y,EXP-5.3,2step_review
OQ-02279,Mínimo de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000502_119206855.xml,502,Confección de bolos - Pasto seco en campo raíces,0.9500,Y,REJECT,2step_review
OQ-02280,BOLOS DE PAJA,Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770 kg.,SOC COMERCIAL AGRO-TRUST LTDA,COM.PROD.E INS.AGR.-ASES.Y SERV.AGR.-COM.DE GANADO-COM.PROD. TECNOLOGI,COMPRAS,DTE_033_000000004567_782881507.xml,4567,BOLOS DE PAJA - Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770 kg.,0.9500,Y,EXP-4.2,2step_review
OQ-02416,Conf. Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000534_119206855.xml,534,Aplicación de lodo; Conf.. bolos tineo; Diferencia bolos tineo,0.9500,Y,EXP-5.4,wave2_review
OQ-02417,Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000534_119206855.xml,534,Aplicación de lodo; Conf. Bolos bramadero; Diferencia bolos tineo,0.9500,Y,EXP-15.3,wave2_review
OQ-02418,Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000534_119206855.xml,534,Aplicación de lodo; Conf. Bolos bramadero; Conf.. bolos tineo,0.9500,Y,EXP-15.3,wave2_review
OQ-02419,Bolos maitén,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000540_119206855.xml,540,Bolos bramadero; Bolos demaihue,0.9500,Y,EXP-15.3,wave2_review
OQ-02420,Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000540_119206855.xml,540,Bolos maitén; Bolos demaihue,0.9500,Y,EXP-15.3,wave2_review
OQ-02321,Bolos demaihue,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000540_119206855.xml,540,Bolos maitén; Bolos bramadero,0.9500,Y,EXP-4.2,2step_review
OQ-02324,BOLOS YUTRECO,Total bolos 120 bolos en 19H: 6 bolos por ha valor ha : 135.000,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000425_770531012.xml,425,BOLOS YUTRECO - Total bolos 120 bolos en 19H: 6 bolos por ha valor ha : 135.000; BOLOS CHAPILCAHUIN - Pago por bolos total 75 bolos; BOLOS PELLECO - Bolos 68 en 9 ha : sería 7 bolos por ha y el valor Ha seria: 141.500,0.9500,Y,EXP-4.2,2step_review
OQ-02325,BOLOS CHAPILCAHUIN,Pago por bolos total 75 bolos,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000425_770531012.xml,425,BOLOS YUTRECO - Total bolos 120 bolos en 19H: 6 bolos por ha valor ha : 135.000; BOLOS CHAPILCAHUIN - Pago por bolos total 75 bolos; BOLOS PELLECO - Bolos 68 en 9 ha : sería 7 bolos por ha y el valor Ha seria: 141.500,0.9500,Y,EXP-4.2,2step_review
OQ-02347,BOLOS MAITEN 2DA VUELTA,6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000430_770531012.xml,430,BOLOS MAITEN - Primera vuelta 199 bolos; BOLOS FUTRONO - Bolos futrono 149; BOLOS MAITEN 2DA VUELTA - 6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,0.9800,Y,EXP-5.4,2step_review
OQ-02356,MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_061_000000000007_769874577.xml,7,FERTILIZACION,0.9500,Y,EXP-4.2,2step_review
OQ-02358,"MALLA PARA BOLO TOTAL COVER 1,25 X 3000 MT",ROLLO|SOLICITADO POR PILAR LOBOS. CANCELAN EN 3 CUOTAS IGUALES,Tattersall AgroInsumos S.A.,Distribución de Insumos y Maquinaria Agrícola,COMPRAS,DTE_033_000000663673_967754005.xml,663673,"FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO - ROLLO 1500 MT|SOLICITADO POR PILAR LOBOS. CANCELAN EN; MALLA PARA BOLO TOTAL COVER 1,25 X 3000 MT - ROLLO|SOLICITADO POR PILAR LOBOS. CANCELAN EN 3 CUOTAS ",0.9500,Y,EXP-5.4,2step_review
OQ-02359,PARCHE SILO BOLO,PARCHE SILO BOLO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029693596_810941006.xml,29693596,PARCHE SILO BOLO - PARCHE SILO BOLO,0.9500,Y,EXP-5.4,2step_review
OQ-02361,BOLOS MAITEN,Primera vuelta 199 bolos,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000430_770531012.xml,430,BOLOS MAITEN - Primera vuelta 199 bolos; BOLOS FUTRONO - Bolos futrono 149; BOLOS MAITEN 2DA VUELTA - 6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,0.9500,Y,EXP-5.4,2step_review
OQ-02362,BOLOS FUTRONO,Bolos futrono 149,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000430_770531012.xml,430,BOLOS MAITEN - Primera vuelta 199 bolos; BOLOS FUTRONO - Bolos futrono 149; BOLOS MAITEN 2DA VUELTA - 6ha 24 bolos : 4 bolos por ha valor ha 122.000 total 732.000,0.9500,Y,EXP-5.4,2step_review
OQ-02363,BOLOS YUTRECO,177 bolos en 37 ha 5 bolos por ha 177x 18.500: 3.274.500 + 3x37ha : 111 bolos x 12.000 : 1.332.000 total: 4.606.500,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000431_770531012.xml,431,BOLOS YUTRECO - 177 bolos en 37 ha 5 bolos por ha 177x 18.500: 3.274.500 + 3x37ha : 111 bolos x 12.0,0.9500,Y,EXP-4.2,2step_review
OQ-02364,BOLOS YUTRECO,P1 P38 P33 P32 P40 P31 P23 P10 42 Ha y 208 bolos serian 5 bolos por Ha mas 3 bolos x Ha serian 126 bolos: 208x18.500 : 3.848.000 mas 126x12.000: 1.512.000 total: 5.360.000: valor Ha 127.619.,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000434_770531012.xml,434,BOLOS YUTRECO - P1 P38 P33 P32 P40 P31 P23 P10 42 Ha y 208 bolos serian 5 bolos por Ha mas 3 bolos x; BOLOS RAICES - Confeccion arriendo 18ha 63bolosy sala A2 5Ha 19 bolos total 82 bolos en 23 Ha 3.5 bo,0.9500,Y,EXP-4.2,2step_review
OQ-02365,BOLOS RAICES,"Confeccion arriendo 18ha 63bolosy sala A2 5Ha 19 bolos total 82 bolos en 23 Ha 3.5 bolos x ha 4.5x23: 103.5bolos , 82x 18.500: 1.517.000 mas 103.5x12.000: 1.242.000 total 2.759.000",SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000434_770531012.xml,434,BOLOS YUTRECO - P1 P38 P33 P32 P40 P31 P23 P10 42 Ha y 208 bolos serian 5 bolos por Ha mas 3 bolos x; BOLOS RAICES - Confeccion arriendo 18ha 63bolosy sala A2 5Ha 19 bolos total 82 bolos en 23 Ha 3.5 bo,0.9500,Y,EXP-4.2,2step_review
OQ-02366,CONFECCION CHAPILCAHUIN,202 bolos en 30 ha 7 bolos x ha : 30x 12.000; 360.000 mas 202x18.500: 3.737.000 total: 4.097.000 valor Ha: 136.567,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000435_770531012.xml,435,CONFECCION CHAPILCAHUIN - 202 bolos en 30 ha 7 bolos x ha : 30x 12.000; 360.000 mas 202x18.500: 3.73,0.9500,Y,EXP-4.2,2step_review
OQ-02367,Diferencia de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000548_119206855.xml,548,Confección de bolos,0.8500,Y,EXP-15.3,wave2_review
OQ-02369,FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO,ROLLO 1500 MT|SOLICITADO POR PILAR LOBOS. CANCELAN EN 3 CUOTAS IGUALES,Tattersall AgroInsumos S.A.,Distribución de Insumos y Maquinaria Agrícola,COMPRAS,DTE_033_000000663673_967754005.xml,663673,"FILM PARA BOLO WINPACK 750MM X 1500MT BLANCO - ROLLO 1500 MT|SOLICITADO POR PILAR LOBOS. CANCELAN EN; MALLA PARA BOLO TOTAL COVER 1,25 X 3000 MT - ROLLO|SOLICITADO POR PILAR LOBOS. CANCELAN EN 3 CUOTAS ",0.7500,Y,EXP-4.2,wave2_review
OQ-02372,BOLOS PASTO SECO PELLECO,392 bolos pasto seco,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000439_770531012.xml,439,BOLOS SILO CHAPILCAHUIN - 20 bolos silo empastadas arriendo; BOLOS PASTO SECO PELLECO - 392 bolos pasto seco; BOLOS PASTO SECO RAICES - BOLOS RAICES ARRIENDO 225,0.9500,Y,EXP-5.3,2step_review
OQ-02373,BOLOS PASTO SECO RAICES,BOLOS RAICES ARRIENDO 225,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000439_770531012.xml,439,BOLOS SILO CHAPILCAHUIN - 20 bolos silo empastadas arriendo; BOLOS PASTO SECO PELLECO - 392 bolos pasto seco; BOLOS PASTO SECO RAICES - BOLOS RAICES ARRIENDO 225,0.9500,Y,EXP-5.3,2step_review
OQ-02382,"Bolon Seleccionado de 3"" a 8"" Puesto en O",,SERVICIOS EL MAITEN LIMITADA,ARRIENDO DE MAQUINARIA Y VENTA DE ARIDOS,COMPRAS,DTE_033_000000035174_772351704.xml,35174,,0.8500,Y,EXP-15.3,wave2_review
