candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01078,Ton Aplicación Cal,Ton Aplicación Cal,Servicios Bergström Limitada,"ROTURACION, SIEMBRAS, RECOLEC, EMPACADO, TRILLA , OTROS SERVICIOS AGRICOLAS",COMPRAS,DTE_033_000000005949_774562605.xml,5949,APLICACION KG GUANO TEBBE - APLICACION KG GUANO TEBBE; Ton Aplicación Cal - Ton Aplicación Cal,0.8000,Y,EXP-6.3,keyword-grounded
OQ-02469,TIZA CARBONATO CALCIO 1KGS MOHICAN -@,TIZA CARBONATO CALCIO 1KGS MOHICAN -@,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000230879_66554732.xml,230879,TIZA CARBONATO CALCIO 1KGS MOHICAN -@ - TIZA CARBONATO CALCIO 1KGS MOHICAN -@,0.9800,N,,
OQ-02470,CAL IM MINERALS FUNDO,CAL AGRICOLA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029159625_810941006.xml,29159625,VITRAMAG FUNDO - VITRAMAG FUNDO; SUPERFOSFATO TRIPLE FUNDO - SUPERFOSFATO TRIPLE FUNDO; CAL IM MINERALS FUNDO - CAL AGRICOLA; SMARTBLUE FUNDO - SMARTBLUE FUNDO,0.9800,N,,
OQ-02473,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,AGROINDUSTRIA,COMPRAS,DTE_033_000001393253_967728101.xml,1393253,,0.9800,Y,EXP-6.3,keyword-grounded
OQ-02508,CALEFACTOR A LEÑA LIMIT 360 BOSCA CERT,CALEFACTOR A LEÑA LIMIT 360 BOSCA CERT,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028803156_810941006.xml,28803156,"CALEFACTOR A LEÑA LIMIT 360 BOSCA CERT - CALEFACTOR A LEÑA LIMIT 360 BOSCA CERT; KIT INSTALACION 6""X4 BASE CALEFAC. BOSCA - KIT INSTALACION 6""X4 BASE CALEFAC. BOSCA",0.0500,N,,
OQ-02509,CAL PINTA CAL 25 KGS.,,FERRETERIA HESS Y BUSCHMANN SPA,FERRETERIA,COMPRAS,DTE_033_000000256428_804616004.xml,256428,,0.9000,N,,
OQ-02510,CAL SUR IANSA ENV. MAXISACO 1000 KG,,IANSAGRO S.A.,AGROINDUSTRIA,COMPRAS,DTE_033_000001395009_967728101.xml,1395009,,0.9500,N,,
OQ-02511,CALEFON - SPLENDID IONIZADO 8 LT,CALEFON - SPLENDID IONIZADO 8 LT,COMERCIAL HARCHA SPA,FERRETERIA,COMPRAS,DTE_033_000001221354_770711002.xml,1221354,"PILA DURACELL GRANDE ""D"" D - PILA DURACELL GRANDE ""D"" D; CALEFON - SPLENDID IONIZADO 8 LT - CALEFON - SPLENDID IONIZADO 8 LT",0.0500,N,,
OQ-02512,Arriendo Dispensador Agua Fria-Caliente,,Manantial S.A,"CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA",COMPRAS,DTE_033_000006218140_967115908.xml,6218140,Botellon 20 litros; DIFERENCIA CARGO MINIMO,0.0500,N,,
OQ-02513,SPRAY (PULVERIZADOR MANUAL 500 CC),SPRAY (PULVERIZADOR MANUAL 500 CC),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029585487_810941006.xml,29585487,"PEDEROL SPRAY 250 ML - PEDEROL SPRAY 250 ML; HEPROTEC INY 3x10 ML - HEPROTEC INYECTABLE EN AMPOLLA DE 10 ML; CUCHILLO DESPALMADOR DERECHO AESCULAP - CUCHILLO DESPALMADOR DERECHO AESCULAP; SPRAY (PULVERIZADOR MANUAL 500 CC) - SPRAY (PULVERIZADOR MANUAL 500 CC); SOLUTION X 500 ML - SOLUTION X 500 ML; CAÑERIA NEGRA PN4 1"" - CAÑERIA NEGRA PN4 1""",0.0500,N,,
OQ-02514,PINTURA SPRAY FIL VERDE -_VERDE___,_VERDE___,FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS,COMPRAS,DTE_033_000001552335_967895202.xml,1552335,PENCIVET X CAJA -____ - ____; DIGESTIVO BILIFAR 120 GRS. -____ - ____; MASTIPLAN X 20 JERINGAS -____ - ____; PINTURA SPRAY FIL ROJO -_ROJO___ - _ROJO___; PINTURA SPRAY FIL VERDE -_VERDE___ - _VERDE___; GUANTES SHOOF LARGO (L) NITRI.AZUL CAJA 100 UN -____ - ____,0.0500,N,,
OQ-02515,CALC SOBREME 12DIGITOS CS-307,CALC SOBREME 12DIGITOS CS-307,ILOP S A,"ART. DE LIBRERIA, ESCRITORIO Y OFICINA",COMPRAS,DTE_033_000002979051_804782001.xml,2979051,LOMO ARCHIV ANCHO OF 10 UN BLA - LOMO ARCHIV ANCHO OF 10 UN BLA; CALC SOBREME 12DIGITOS CS-307 - CALC SOBREME 12DIGITOS CS-307,0.0500,N,,
OQ-02569,CAL PINTACAL 25KG SOPROCAL,,SOCIEDAD COMERCIAL TUCHIE JADURI LIMITAD,FERRETERIA,COMPRAS,DTE_033_000000077655_761459791.xml,77655,,0.9800,N,,
