candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00670,dias,,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL,COMPRAS,DTE_033_000000000178_76868328K.xml,178,leña,0.7000,Y,REJECT,2step_review
OQ-02507,CALCIO (CA) SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005069701_823926006.xml,5069701,GOT (ASAT) SUERO; SELENIO (SE) SUERO; GAMMA GLUTAMIL TRANSFERASA (GGT) SUERO; FOSFORO (P) SUERO; COBRE (CU) SUERO; ZINC (ZN) SUERO,0.8500,Y,EXP-12.2,2step_review
OQ-02521,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029583115_810941006.xml,29583115,PATHOZONE X 10 JER - PATHOZONE X 10 JER; TOCOPER X 250 ML - TOCOPER 250 ML; KET - 10 X 50 ML - KET - 10 X 50 ML; BLOQ. SOLAR BANANA BOAT FPS 50 X 1 L - BLOQ. SOLAR BANANA BOAT FPS 50 X 1 L; PRESIDE 80 WP X 300 GRS. - PRESIDE 80 WP; ALAMBRE GALV. # 14 POR KILOS - ALAMBRE GALV. # 14 POR KILOS,0.8500,Y,EXP-8.1,2step_review
OQ-02701,MURIATO DE POTASIO 60% FUNDO,MURIATO DE POTASIO 60% FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028273617_810941006.xml,28273617,SUPERFOSFATO TRIPLE FUNDO - SUPERFOSFATO TRIPLE FUNDO; UREA GRANULADA FUNDO - UREA GRANULADA FUNDO; MURIATO DE POTASIO 60% FUNDO - MURIATO DE POTASIO 60% FUNDO; FOSFATO MONOAMONICO FUNDO - FOSFATO MONOAMONICO FUNDO; UREA ADHERO FUNDO - UREA ADHERO FUNDO,0.9500,Y,EXP-6.5,2step_review
OQ-02704,APLICACION FERTILIZANTE,YUTRECO UREA 192 HA mas 43 HA aplicación Urea,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000358_770531012.xml,358,APLICACION FERTILIZANTE - YUTRECO UREA 192 HA mas 43 HA aplicación Urea; APLICACION FERTILIZANTE - FERTILIZANTE NITROGENO 192 HA; RIEGO CAL PRADERAS 30 TON - APLICACION MAS CARGUIO,0.8500,Y,EXP-6.2,2step_review
OQ-02705,APLICACION FERTILIZANTE,FERTILIZANTE NITROGENO 192 HA,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000358_770531012.xml,358,APLICACION FERTILIZANTE - YUTRECO UREA 192 HA mas 43 HA aplicación Urea; APLICACION FERTILIZANTE - FERTILIZANTE NITROGENO 192 HA; RIEGO CAL PRADERAS 30 TON - APLICACION MAS CARGUIO,0.8500,Y,EXP-6.2,2step_review
OQ-02706,PELLECO FERTILIZANTE,RIEGO FERTILIZANTE VITRAMAG 150 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000393_770531012.xml,393,PELLECO FERTILIZANTE - RIEGO FERTILIZANTE VITRAMAG 150 K/HA; PELLECO FERTILIZANTE - UREA S-MART BLUE 100 Y 150 K/HA; YUTRECO FERTILIZANTE - RIEGO FERTILIZANTE UREA S-MART BLUE 50 K/HA; FUMIGACION YUTRECO; RIEGO DE PURINES - APLICACION DE PURINES EN PRADERA 21 CARRADAS 231.000 LTS,0.9500,Y,EXP-6.5,2step_review
OQ-02709,VITRAMAG FUNDO,VITRAMAG FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000029159625_810941006.xml,29159625,VITRAMAG FUNDO - VITRAMAG FUNDO; SUPERFOSFATO TRIPLE FUNDO - SUPERFOSFATO TRIPLE FUNDO; CAL IM MINERALS FUNDO - CAL AGRICOLA; SMARTBLUE FUNDO - SMARTBLUE FUNDO,0.9800,Y,EXP-6.5,2step_review
OQ-02710,VITRAMAG-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000056_779509370.xml,56,SMART BLUE - BRAMADERO; SMART BLUE -BRAMADERO; FUMIGAR -BRAMADERO; SMART BLUE - TINEO; VITRAMAG - TINEO,0.9300,Y,EXP-7.0,2step_review
OQ-02711,VITRAMAG - TINEO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000056_779509370.xml,56,VITRAMAG-BRAMADERO; SMART BLUE - BRAMADERO; SMART BLUE -BRAMADERO; FUMIGAR -BRAMADERO; SMART BLUE - TINEO,0.9500,Y,EXP-6.5,2step_review
