candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00122,SIEMBRA SALA - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000055_779509370.xml,55,TORDON-MAITEN; TORDON Y ZERO - MAITEN; TORDON -MAITEN; SMART BLUE - MAITEN; QUEMA VEGA 1 - MAITEN; SIEMBRA VEGA 1- MAITEN,0.8500,Y,EXP-8.1,Siembra sala/vega with herbicide siblings suggests perennial pasture establishment
OQ-00123,SIEMBRA,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000034_779509370.xml,34,LIMPIA RASTROJO; RANA; CULTIVO 3 PASAD. RASTRA; VIBRO; RODON; CULTIVO SILO RASTRA,0.8000,Y,EXP-8.4,"Sibling CULTIVO SILO RASTRA confirms silage crop context, not perennial pasture"
OQ-00125,SIEMBRA - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000062_779509370.xml,62,TORDON - MAITEN; SMART BLUE - MAITEN; S.TRIPLE - MAITEN; TRIFLURE - MAITEN; SIEMBRA RAP - MAITEN; QUEMA COPIHUE - MAITEN,0.8500,Y,EXP-8.4,Sibling SIEMBRA RAP confirms rapeseed crop; EXP-8.4 examples include raps explicitly
OQ-00148,SIEMBRA VEGA 1- MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000055_779509370.xml,55,TORDON-MAITEN; TORDON Y ZERO - MAITEN; TORDON -MAITEN; SMART BLUE - MAITEN; QUEMA VEGA 1 - MAITEN; SIEMBRA SALA - MAITEN,0.6500,Y,EXP-8.1,Siembra vega with herbicide treatment = perennial pasture establishment in meadow area
OQ-00174,SIEMBRA GUTTLER,,GUILLERMO ENRIQUE RIEDEL MARTINEZ,"SERVICIOS AGRICOLAS,AGRICOLA,COMERCIALIZACION DE PRODUCTOS AGRICOLAS",COMPRAS,DTE_033_000000002085_91304686.xml,2085,INCORPORADOR CATROS; RODON,0.6000,Y,EXP-8.1,Siembra Guttler (precision seeder); EXP-15.5 excludes siembras; perennial default
OQ-00214,RIEGO DE PURINES,APLICACION DE PURINES EN PRADERA 21 CARRADAS 231.000 LTS,SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000393_770531012.xml,393,PELLECO FERTILIZANTE - RIEGO FERTILIZANTE VITRAMAG 150 K/HA; PELLECO FERTILIZANTE - UREA S-MART BLUE 100 Y 150 K/HA; YUTRECO FERTILIZANTE - RIEGO FERTILIZANTE UREA S-MART BLUE 50 K/HA; FUMIGACION YUTRECO; RIEGO DE PURINES - APLICACION DE PURINES EN PRADERA 21 CARRADAS 231.000 LTS,0.7500,Y,EXP-15.5,Manure irrigation service (riego purines on pasture); taxonomy EXP-15.5 explicitly lists purines.
OQ-00215,SIEMBRA RAP - BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000063_779509370.xml,63,SMART BLUE - BRAMADERO; CULTIVO 4 PASADAS A 14 H- - BRAMADERO; VIBRO - BRAMADERO; RODON - BRAMADERO; TRIPLE - BRAMADERO; TRIFLUREX - BRAMADERO,0.8000,Y,EXP-8.4,Rapeseed sowing (siembra raps); taxonomy EXP-8.4 explicitly lists raps; siblings=cultivation+herbicides.
OQ-01682,SEMILLA DE TREBOL BLCO KOTUKU AGRI 4 KG,,COAGRA S.A.,AGROINDUSTRIA COMERCIALIZACIÓN DE PRODUCTOS E INSUMOS AGRÍCOLAS REPARACIÓN MANTE,COMPRAS,DTE_033_000002185848_966868708.xml,2185848,NITROFIX NTX N21% 5 L; SEMILLA DE TREBOL RURU AGR CLOVER 4 KG - ^ ! Cuota Vencimiento Monto ! Cuota Vencimiento Monto ! Cuo,0.7500,Y,EXP-8.1,keyword-grounded
OQ-02141,SEMILLA BALLICA FORGE AGR X 25 KG,SEMILLA BALLICA FORGE AGR X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028912579_810941006.xml,28912579,SEMILLA BALLICA FORGE AGR X 25 KG - SEMILLA BALLICA FORGE AGR X 25 KG,0.8500,Y,EXP-8.1,keyword-grounded
OQ-02173,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,SEMILLA BALLICA DAIRY PRIME DES X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028912544_810941006.xml,28912544,SEMILLA BALLICA DAIRY PRIME DES X 25 KG - SEMILLA BALLICA DAIRY PRIME DES X 25 KG; SEMILLA TREBOL BLANCO RURU X 4 KG - SEMILLA TREBOL BLANCO RURU; SEMILLA TREBOL BLANCO KOTUKU X 4 KG - SEMILLA TREBOL BLANCO KOTUKU,0.9200,Y,EXP-8.1,keyword-grounded
