candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-02595,Siembra Papas Maiten,,HSV SPA,"CULTIVO, COMPRA Y VENTA DE ALIMENTOS AGRICOLAS Y TERAPIAS NATURALES.",COMPRAS,DTE_033_000000000248_77991139K.xml,248,Asesoria Huerto Tineo,0.9200,Y,EXP-15.5,wave2_review
OQ-02145,Apoyo Huerto Septiembre,,HSV SPA,"CULTIVO, COMPRA Y VENTA DE ALIMENTOS AGRICOLAS Y TERAPIAS NATURALES.",COMPRAS,DTE_033_000000000194_77991139K.xml,194,,0.7500,Y,EXP-16.2,wave2_review
OQ-02449,FRUTOS SECOS NUTS Y FRUTA VIVO BOLSA 80 GR,,COMERCIAL AMAR HERMANOS Y COMPANIA LIMITADA,SUPERMERCADO,COMPRAS,DTE_033_000000672620_773493200.xml,672620,PAPEL HIGIENICO ULTRA DH 25MTS ELITE PAQUETE 24 UND; AZUCAR IANSA 900GRS BOLSA 900 GR; PASTILLA PARA ESTANQUE IGENIX 3 UND CAJA 48 GR; TRAP MICROFIBRA DOÑA GABY 50X60 CON OJAL UND 1 UND; TRAP MICROFIBRA DOÑA GABY 50X40 DOBLE CON OJAL UND 1 UND; LIMPIAVIDRIOS EXPT CIF VIDRIOS BOTELLA 500 ML,0.7000,Y,EXP-16.2,wave2_review
OQ-02837,FIBRA DE COCO BLOQUE MEDIUM EXTRA LAVADA STD X KG,FIBRA DE COCO BLOQUE MEDIUM EXTRA LAVADA STD X KG,Mallas Protekta Limitada,MALLAS PROTEKTA LIMITADA,COMPRAS,DTE_033_000000429261_77505400K.xml,429261,FIBRA DE COCO BLOQUE MEDIUM EXTRA LAVADA STD X KG - FIBRA DE COCO BLOQUE MEDIUM EXTRA LAVADA STD X K; MACET INYECT GRIS MCD 45 - MACET INYECT GRIS MCD 45,0.8500,Y,EXP-15.3,wave2_review
OQ-03164,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005077449_823926006.xml,5077449,SEM. RAPS FORR. PILLAR IMP.CTE. DES,0.9500,Y,EXP-8.2,2step_review
OQ-03165,SEM. RAPS FORR. PILLAR IMP.CTE. DES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005077449_823926006.xml,5077449,SEM.RAPS FORR.SPITFIRE DES. CTE,0.9500,Y,EXP-8.2,2step_review
OQ-03166,Aplicación con dron agrícola 13 ha de Rutabaga,,SOC AGRICOLA GANADERA Y FORESTAL SANTA FE LTDA,CRIA DE GANADO BOVINO PARA LA PRODUCCIN LECHERA,COMPRAS,DTE_033_000000000380_770299004.xml,380,,0.9500,Y,EXP-7.0,2step_review
OQ-03168,RAPS TORDON 21K -,BRAMADERO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000069_779509370.xml,69,RAPS TORDON 21K - - BRAMADERO; UREA - BRAMADERO; SMART BLUE - BRAMADERO; TORDON - BRAMADERO; UREA Y SMARTS BLUE - - BRAMADERO,0.9600,Y,EXP-8.4,keyword-grounded
OQ-03170,SEMILLA DE TREBOL BLCO KOTUKU AGRI 4 KG,,COAGRA S.A.,AGROINDUSTRIA COMERCIALIZACIÓN DE PRODUCTOS E INSUMOS AGRÍCOLAS REPARACIÓN MANTE,COMPRAS,DTE_033_000002185848_966868708.xml,2185848,NITROFIX NTX N21% 5 L; SEMILLA DE TREBOL RURU AGR CLOVER 4 KG - ^ ! Cuota Vencimiento Monto ! Cuota Vencimiento Monto ! Cuo,0.9400,Y,EXP-8.1,2step_review
OQ-03171,Apoyo Huerto Tineo,,HSV SPA,"CULTIVO, COMPRA Y VENTA DE ALIMENTOS AGRICOLAS Y TERAPIAS NATURALES.",COMPRAS,DTE_033_000000000324_77991139K.xml,324,,0.7500,Y,EXP-16.2,wave2_review
