candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00325,.,Servicios revision y puesta en marcha fertiriego y cambio reloj horario,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005184928_823926006.xml,5184928,. - Servicios revision y puesta en marcha fertiriego y cambio reloj horario,0.8000,Y,EXP-9.2,Fertiriego inspection and commissioning service; EXP-9.2 = irrigation maintenance; not electricity.
OQ-01130,Servicio electricos fundo yutreco,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005193731_823926006.xml,5193731,,0.7000,Y,EXP-11.1,wave2_review
OQ-01643,DESCARGA MAXIS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000313_769874577.xml,313,CORTE DE LIMPIEZA; RIEGO DE PURIN,0.7500,Y,EXP-9.1,wave2_review
OQ-01665,DESCARGA DE MAXIS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000319_769874577.xml,319,RIEGO DE PURIN,0.7000,Y,EXP-9.1,wave2_review
OQ-02164,Compra materiales,De riego,INDUSTRIAL RIEGO SPA,OB.MENORES EN CONST.ELECT.RIEGOY PURINES.MEC.INDUS.Y AUTOM EN TERRENO,COMPRAS,DTE_033_000000000846_770661161.xml,846,Compra materiales - De riego,0.6500,Y,EXP-15.3,wave2_review
OQ-03057,Recarga Agua Purificada,Fundo Raices,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,"VENTA, ENVASADO Y DISTRIBUCIÓN DE AGUA PURIFICADA",COMPRAS,DTE_033_000000001091_776655848.xml,1091,Recarga Agua Purificada - Fundo Raices,0.7000,Y,EXP-9.2,wave2_review
OQ-03065,Replanteo Vertices Riego Proy. Yutreco,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005135078_823926006.xml,5135078,,0.6500,Y,EXP-15.3,wave2_review
OQ-03274,.,"Servicios revision tableros electricos, reparaciones, puestas en marcha, mantencion bombas fertiriego, repuestos k-line fundo maiten,yutreco y raices",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005156399_823926006.xml,5156399,". - Servicios revision tableros electricos, reparaciones, puestas en marcha, mantencion bombas ferti",0.9800,Y,EXP-9.1,keyword-grounded
OQ-03275,.,"Servicio electricos, regulacion frecuencia vdf,cambio rele y reloj horario fertiriego fundo yutreco",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005184905_823926006.xml,5184905,". - Servicio electricos, regulacion frecuencia vdf,cambio rele y reloj horario fertiriego fundo yutr",0.9800,Y,EXP-9.1,keyword-grounded
OQ-03276,electrico,Reposicion de cables de fuerza de sistema de riego.,A&C ELECTRICIDAD LIMITADA,INSTALACIONES ELECTRICAS,COMPRAS,DTE_033_000000000132_769560661.xml,132,electrico - Reposicion de cables de fuerza de sistema de riego.,0.9500,Y,EXP-9.1,2step_review
OQ-03281,Electricidad Consumida,,CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000001424978_965315004.xml,1424978,Administración del Servicio; Transporte de Electricidad; Cargo mensual por demanda máxima de Potencia Contratada; Recargo Lectura Baja Tensión; Cargo por Servicio Público; Cargo Fondo de Estabilización Ley 21.472,0.9500,Y,EXP-11.1,2step_review
OQ-03311,Transporte de Electricidad,,Sociedad Austral de Electricidad SA,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000009413383_760731625.xml,9413383,Administración del Servicio; Electricidad Consumida; Cargo por Servicio Público; Subsidio cuota deuda pandemia 38 / 48; Cuota deuda pandemia (38/48); Subsidio eléctrico Ley N°21.667(4/6),0.9500,Y,EXP-9.1,wave2_review
OQ-03313,Transporte de Electricidad,,CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000001424974_965315004.xml,1424974,Administración del Servicio; Electricidad Consumida; Cargo mensual por demanda máxima de Potencia Contratada; Recargo Lectura Baja Tensión; Cargo por Servicio Público; Arriendo de Medidor,0.9500,Y,EXP-9.1,wave2_review
OQ-03347,Interés por mora Energía,,CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica,COMPRAS,DTE_033_000001424974_965315004.xml,1424974,Administración del Servicio; Transporte de Electricidad; Electricidad Consumida; Cargo mensual por demanda máxima de Potencia Contratada; Recargo Lectura Baja Tensión; Cargo por Servicio Público,0.9500,Y,EXP-11.1,wave2_review
