candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00138,K-L NIPLE ADAPTADOR ASPERSOR NELSON,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005198998_823926006.xml,5198998,K-L TUBO ALZADOR 40 MM X 800 MM; K-L ASPERSOR NELSON R2000 RED - RED; K-L UNION AMERICANA 40 MM; K-L TOW CAP 40 MM; K-L COPLA 40 MM TERMINAL HE,0.7000,Y,EXP-9.2,Nelson sprinkler adapter niple; siblings are irrigation system components
OQ-01002,mantencion,servicio de mantencion de riego,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000043_781899259.xml,43,mantencion - servicio de mantencion de riego,0.8500,Y,EXP-9.2,keyword-grounded
OQ-01727,.,"Servicios revision tableros electricos, reparaciones, puestas en marcha, mantencion bombas fertiriego, repuestos k-line fundo maiten,yutreco y raices",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005156399_823926006.xml,5156399,". - Servicios revision tableros electricos, reparaciones, puestas en marcha, mantencion bombas ferti",0.7000,N,,
OQ-03225,DESCARGA DE MAXIS,,AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA,COMPRAS,DTE_033_000000000319_769874577.xml,319,RIEGO DE PURIN,0.7500,Y,EXP-9.2,keyword-grounded
OQ-03389,mantencion,servicio de matencion de riego K LINE / IRRIPOD mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000038_781899259.xml,38,mantencion - servicio de matencion de riego K LINE / IRRIPOD mas materiales,0.9500,Y,EXP-9.2,keyword-grounded
OQ-03390,servicio,servicio de mantencion de riego mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000057_781899259.xml,57,servicio - servicio de mantencion de riego mas materiales,0.9500,Y,EXP-9.2,keyword-grounded
OQ-03392,mantencion idrante riego,,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000095_781899259.xml,95,,0.9200,Y,EXP-9.2,keyword-grounded
OQ-03393,servicio,mantencion de riego irripod mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000052_781899259.xml,52,servicio - mantencion de riego irripod mas materiales,0.9600,Y,EXP-9.2,keyword-grounded
OQ-03395,servicio,reparaciones lineas de riego,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES,COMPRAS,DTE_033_000000000072_781899259.xml,72,servicio - reparaciones lineas de riego,0.9400,Y,EXP-9.2,keyword-grounded
OQ-03396,Replanteo Vertices Riego Proy. Yutreco,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005135078_823926006.xml,5135078,,0.9500,Y,EXP-9.2,keyword-grounded
OQ-03397,K-L ASPERSOR NELSON R2000 RED - RED,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005136912_823926006.xml,5136912,,0.9500,Y,EXP-9.2,keyword-grounded
OQ-03398,Mantención motor del,riego,SANDRA PAULINA VALLADARES RIOS,REPARAC/MANTENCION MAQUINAS / EQUIPOS AGRIC./ FORESTAL/VEHICULOS AUTOM,COMPRAS,DTE_033_000000000030_168720882.xml,30,Limpieza pozo pulinero; Mantención motor del - riego; Colocar patente y - extintor tractor John Deere; Instalar extintor - retroexcavadora; Reparar patente tractor - frontal,0.9500,Y,EXP-9.2,keyword-grounded
OQ-03399,ASPERSOR PLASTICO C/ESTACA METALICA X3APB (116008) ED,,COMERCIAL CLIMENT SPA,"Venta al por mayor de Materiales de Construccion,",COMPRAS,DTE_033_000000712715_864906001.xml,712715,"LLAVE STILLSON 12"" LLPW1012 HAMMERBIT; ALICATE UNIVERSAL 8"" BAHCO 2678G/200",0.9500,Y,EXP-9.2,keyword-grounded
OQ-03400,ASPERSOR METALICO 1 2 - EDR 116022 -@,ASPERSOR METALICO 1 2 - EDR 116022 -@,DORIS IVONNE CASTILLO KANTER,Ferretería,COMPRAS,DTE_033_000000247956_66554732.xml,247956,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@ - CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@; CLORO EN TABLETAS POTE 1KG CLASE 5 1 QUIMICA UNIVERSAL-@ - CLORO EN TABLETAS POTE 1KG CLASE 5 1 QUIM; ALGUICIDA BIDON 1LT QUIMICA -@ - ALGUICIDA BIDON 1LT QUIMICA -@; CLORO TRIPLE ACCION POTE 1 KG -@ - CLORO TRIPLE ACCION POTE 1 KG -@; ALGUICIDA BIDON 5LTS -@ - ALGUICIDA BIDON 5LTS -@; TERMINAL CONECTOR ,0.9500,Y,EXP-9.2,keyword-grounded
