candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00549,VENTA DE ACTIVO FIJO,ESTANQUE DELAVAL 16.000 LTS USADO,ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001119_969839504.xml,1119,VENTA DE ACTIVO FIJO - ESTANQUE DELAVAL 16.000 LTS USADO,0.9500,Y,REJECT,Sale of fixed asset (used milk tank) has no matching taxonomy ING category
OQ-01151,VENTA DE LECHE,"145.412 kg de leche a $ 418,00 Estanque 21055-2, Raices Guias entre 1328157 - 1311519",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001212_810941006.xml,1212,"VENTA DE LECHE - 180.231 kg de leche a $ 414,48 Estanque 03076-7, El Maiten Guias entre 1336519 - 13; VENTA DE LECHE - 435.744 kg de leche a $ 426,99 Estanque 20530-3, El Maiten Guias entre 1336519 - 13; VENTA DE LECHE - 145.412 kg de leche a $ 418,00 Estanque 21055-2, Raices Guias entre 1328157 - 13115; VENTA DE LECHE - 473.548 kg de leche a $ 414,16 Estanque 21215-6, Yutreco Guias entre 1328394 ",0.9900,Y,ING-0.1,2step_review
OQ-01152,VENTA DE LECHE,"9.663 kg de leche a $ 592,51 Estanque 03076-7, El Maiten Guia entre 1267029 - 1256625",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001120_810941006.xml,1120,"VENTA DE LECHE - 9.663 kg de leche a $ 592,51 Estanque 03076-7, El Maiten Guia entre 1267029 - 12566; VENTA DE LECHE - 6.740 kg de leche a $ 627,80 Estanque 21215-6, Yutreco Guia entre 1256339 - 1267203",0.9900,Y,ING-0.1,2step_review
OQ-01153,VENTA DE LECHE,"6.740 kg de leche a $ 627,80 Estanque 21215-6, Yutreco Guia entre 1256339 - 1267203",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001120_810941006.xml,1120,"VENTA DE LECHE - 9.663 kg de leche a $ 592,51 Estanque 03076-7, El Maiten Guia entre 1267029 - 12566; VENTA DE LECHE - 6.740 kg de leche a $ 627,80 Estanque 21215-6, Yutreco Guia entre 1256339 - 1267203",0.9900,Y,ING-0.1,2step_review
OQ-01154,VENTA DE LECHE,"7.400 kg de leche a $ 508,74 Estanque 20530-3, El Maiten Guia entre 1305464 - 1306578",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001162_810941006.xml,1162,"VENTA DE LECHE - 7.400 kg de leche a $ 508,74 Estanque 20530-3, El Maiten Guia entre 1305464 - 13065; VENTA DE LECHE - 2.979 kg de keche a $ 491.27 Estanque 21055-2, Raices Guias entre 1303672 - 1263085; VENTA DE LECHE - 7.910 kg de leche a $ 466,82 Estanque 21215-6, Yutreco Guias entre 1303668 - 130471",0.9900,Y,ING-0.1,2step_review
OQ-01155,VENTA DE LECHE,"126.399 kg de leche a $ 423,80 Estanque 21055-2, Raices Guias entre 1346319 - 1327163",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001204_810941006.xml,1204,"VENTA DE LECHE - 102.387 kg de leche a $ 406,85 Estanque 03076-7, El Maiten Guia entre 1306302 - 133; VENTA DE LECHE - 411.500 kg de leche a $ 423,54 Estanque 20530-3, El Maiten Guias entre 1345651 - 13; VENTA DE LECHE - 126.399 kg de leche a $ 423,80 Estanque 21055-2, Raices Guias entre 1346319 - 13271; VENTA DE LECHE - 397.465 kg de leche a $ 420,94 Estanque 21215-6, Yutreco Guias entre 1305559 ",0.9900,Y,ING-0.1,2step_review
OQ-01156,VENTA DE LECHE,"379845 kg de leche a $ 513,59 Estanque 20530-3, El Maiten Guias entre 13782520 - 1380018",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001223_810941006.xml,1223,"VENTA DE LECHE - 379845 kg de leche a $ 513,59 Estanque 20530-3, El Maiten Guias entre 13782520 - 13; VENTA DE LECHE - 98404 kg de leche a $ 505,57 Estanque 21055-2, Raices Guias entre 1354677 - 1354193; VENTA DE LECHE - 334305 kg de leche a $ 517,22 Estanque 21215-6, Yutreco Guias entre 1354563 - 13545",0.9900,Y,ING-0.1,2step_review
OQ-01157,VENTA DE LECHE,"124668 kg de leche a $ 447,60 Estanque 21055-2, Raices Guias entre 1343238 - 1319386",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001222_810941006.xml,1222,"VENTA DE LECHE - 134633 kg de leche a $ 446,48 Estanque 03076-7, El Maiten Guias entre 1302397 - 132; VENTA DE LECHE - 359524 kg de leche a $ 457,08 Estanque 20530-3, El Maiten Guias entre 1302397 - 135; VENTA DE LECHE - 124668 kg de leche a $ 447,60 Estanque 21055-2, Raices Guias entre 1343238 - 131938; VENTA DE LECHE - 415009 kg de leche a $ 452,11 Estanque 21215-6, Yutreco Guias entre 1333836 -",0.9900,Y,ING-0.1,2step_review
OQ-01158,VENTA DE LECHE,"411.500 kg de leche a $ 423,54 Estanque 20530-3, El Maiten Guias entre 1345651 - 1335806",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001204_810941006.xml,1204,"VENTA DE LECHE - 102.387 kg de leche a $ 406,85 Estanque 03076-7, El Maiten Guia entre 1306302 - 133; VENTA DE LECHE - 411.500 kg de leche a $ 423,54 Estanque 20530-3, El Maiten Guias entre 1345651 - 13; VENTA DE LECHE - 126.399 kg de leche a $ 423,80 Estanque 21055-2, Raices Guias entre 1346319 - 13271; VENTA DE LECHE - 397.465 kg de leche a $ 420,94 Estanque 21215-6, Yutreco Guias entre 1305559 ",0.9900,Y,ING-0.1,2step_review
OQ-01159,VENTA DE LECHE,"415009 kg de leche a $ 452,11 Estanque 21215-6, Yutreco Guias entre 1333836 - 1361824",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001222_810941006.xml,1222,"VENTA DE LECHE - 134633 kg de leche a $ 446,48 Estanque 03076-7, El Maiten Guias entre 1302397 - 132; VENTA DE LECHE - 359524 kg de leche a $ 457,08 Estanque 20530-3, El Maiten Guias entre 1302397 - 135; VENTA DE LECHE - 124668 kg de leche a $ 447,60 Estanque 21055-2, Raices Guias entre 1343238 - 131938; VENTA DE LECHE - 415009 kg de leche a $ 452,11 Estanque 21215-6, Yutreco Guias entre 1333836 -",0.9900,Y,ING-0.1,2step_review
OQ-01160,VENTA DE LECHE,"134633 kg de leche a $ 446,48 Estanque 03076-7, El Maiten Guias entre 1302397 - 1322548",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001222_810941006.xml,1222,"VENTA DE LECHE - 134633 kg de leche a $ 446,48 Estanque 03076-7, El Maiten Guias entre 1302397 - 132; VENTA DE LECHE - 359524 kg de leche a $ 457,08 Estanque 20530-3, El Maiten Guias entre 1302397 - 135; VENTA DE LECHE - 124668 kg de leche a $ 447,60 Estanque 21055-2, Raices Guias entre 1343238 - 131938; VENTA DE LECHE - 415009 kg de leche a $ 452,11 Estanque 21215-6, Yutreco Guias entre 1333836 -",0.9900,Y,ING-0.1,2step_review
OQ-01161,VENTA DE LECHE,"366.000 kg de leche a $ 528,87 estanque 03076-7, El Maiten Guia entre 1315476 - 1274768",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001115_810941006.xml,1115,"VENTA DE LECHE - 366.000 kg de leche a $ 528,87 estanque 03076-7, El Maiten Guia entre 1315476 - 127; VENTA DE LECHE - 109.690 kg de leche a $ 511,10 estanque 21055-2, Raices Guia entre 1314877 - 134467; VENTA DE LECHE - 279.943 kg de leche a $ 517,18 Estanque 21215-6, Yutreco Guias entre 1315427 - 1350",0.9900,Y,ING-0.1,2step_review
OQ-01162,VENTA DE LECHE,"141202 kg de leche a $ 441,51 Estanque 21055-2, Raices Guias entre 1339064 - 1322131",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001220_810941006.xml,1220,"VENTA DE LECHE - 166035 kg de leche a $ 444,94 Estanque 03076-7, El Maiten Guias entre 1302875 - 131; VENTA DE LECHE - 369253 kg de leceh a $ 453,75 Estanque 20530-3, El Maiten Guias entre 1302875 - 131; VENTA DE LECHE - 141202 kg de leche a $ 441,51 Estanque 21055-2, Raices Guias entre 1339064 - 132213; VENTA DE LECHE - 462971 kg de leche a $ 447,24 Estanque 21215-6, Yutreco Guias entre 1340201 -",0.9900,Y,ING-0.1,2step_review
OQ-01163,VENTA DE LECHE,"7.910 kg de leche a $ 466,82 Estanque 21215-6, Yutreco Guias entre 1303668 - 1304710",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001162_810941006.xml,1162,"VENTA DE LECHE - 7.400 kg de leche a $ 508,74 Estanque 20530-3, El Maiten Guia entre 1305464 - 13065; VENTA DE LECHE - 2.979 kg de keche a $ 491.27 Estanque 21055-2, Raices Guias entre 1303672 - 1263085; VENTA DE LECHE - 7.910 kg de leche a $ 466,82 Estanque 21215-6, Yutreco Guias entre 1303668 - 130471",0.9900,Y,ING-0.1,2step_review
OQ-01164,VENTA DE LECHE,"72.826 kg de leche a $448.72 Estanque 20530-3, El Maiten Guias entre 1298482-1271418",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001109_810941006.xml,1109,"VENTA DE LECHE - 425.985 kg de leche a $455.41 . Estanque 03076-7, El Maiten Guias entre 1298482-127; VENTA DE LECHE - 72.826 kg de leche a $448.72 Estanque 20530-3, El Maiten Guias entre 1298482-127141; VENTA DE LECHE - 144.463 kg de leche a $451.05 Estanque 21055-2, Raices Guias entre 1300349-1268098; VENTA DE LECHE - 346.310 kg de leche a 461.94 Estanque 21215-6, Yutreco Guias entre 1297954-126",0.9900,Y,ING-0.1,2step_review
OQ-01165,VENTA DE LECHE,"144.463 kg de leche a $451.05 Estanque 21055-2, Raices Guias entre 1300349-1268098",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001109_810941006.xml,1109,"VENTA DE LECHE - 425.985 kg de leche a $455.41 . Estanque 03076-7, El Maiten Guias entre 1298482-127; VENTA DE LECHE - 72.826 kg de leche a $448.72 Estanque 20530-3, El Maiten Guias entre 1298482-127141; VENTA DE LECHE - 144.463 kg de leche a $451.05 Estanque 21055-2, Raices Guias entre 1300349-1268098; VENTA DE LECHE - 346.310 kg de leche a 461.94 Estanque 21215-6, Yutreco Guias entre 1297954-126",0.9900,Y,ING-0.1,2step_review
OQ-01166,VENTA DE LECHE,"346.310 kg de leche a 461.94 Estanque 21215-6, Yutreco Guias entre 1297954-1269265",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001109_810941006.xml,1109,"VENTA DE LECHE - 425.985 kg de leche a $455.41 . Estanque 03076-7, El Maiten Guias entre 1298482-127; VENTA DE LECHE - 72.826 kg de leche a $448.72 Estanque 20530-3, El Maiten Guias entre 1298482-127141; VENTA DE LECHE - 144.463 kg de leche a $451.05 Estanque 21055-2, Raices Guias entre 1300349-1268098; VENTA DE LECHE - 346.310 kg de leche a 461.94 Estanque 21215-6, Yutreco Guias entre 1297954-126",0.9900,Y,ING-0.1,2step_review
OQ-01167,VENTA DE LECHE,"435.744 kg de leche a $ 426,99 Estanque 20530-3, El Maiten Guias entre 1336519 - 1312258",ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001212_810941006.xml,1212,"VENTA DE LECHE - 180.231 kg de leche a $ 414,48 Estanque 03076-7, El Maiten Guias entre 1336519 - 13; VENTA DE LECHE - 435.744 kg de leche a $ 426,99 Estanque 20530-3, El Maiten Guias entre 1336519 - 13; VENTA DE LECHE - 145.412 kg de leche a $ 418,00 Estanque 21055-2, Raices Guias entre 1328157 - 13115; VENTA DE LECHE - 473.548 kg de leche a $ 414,16 Estanque 21215-6, Yutreco Guias entre 1328394 ",0.9900,Y,ING-0.1,2step_review
