candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-03655,COMISION BOVINOS REPOSICION,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,RECUPERACION SANEAMIENTOS DECOMISOS; RECUPERACION OTROS INGRESOS; RECUPERACION GASTOS SAG,0.9500,Y,ING-0.6,wave2_review
OQ-01185,Descuento en precio vacas,,AGRICOLA Y GANADERA EMERALD LIMITADA,CRIA DE GANADO PRODUCCION LECHE Y CARNE,COMPRAS,DTE_061_000000000017_762025981.xml,17,,0.9500,Y,REJECT,2step_review
OQ-01241,vacas preñadas,,AGRICOLA Y GANADERA EMERALD LIMITADA,CRIA DE GANADO PRODUCCION LECHE Y CARNE,COMPRAS,DTE_033_000000000311_762025981.xml,311,,0.8500,Y,ING-0.5,wave2_review
OQ-03646,RECUPERACION OTROS INGRESOS,,Tattersall Ganado S.A.,Remates y comercialización de ganado y bienes muebles,COMPRAS,DTE_033_000002513374_944240004.xml,2513374,COMISION BOVINOS REPOSICION; RECUPERACION SANEAMIENTOS DECOMISOS; RECUPERACION GASTOS SAG,0.9500,Y,ING-0.6,wave2_review
OQ-02042,vacas,,AGRICOLA Y GANADERA EMERALD LIMITADA,CRIA DE GANADO PRODUCCION LECHE Y CARNE,COMPRAS,DTE_033_000000000309_762025981.xml,309,,0.9500,Y,ING-0.2,2step_review
OQ-02259,BOVINO - Plateada V Origen - Pieza,BOVINO - Plateada V Origen - Pieza,Procarne Comercial S.A.,"Importacion, Exportacion y Comercializacion",COMPRAS,DTE_033_000000367356_761303856.xml,367356,BOVINO - Entraña V Mini Vacío Origen - Pieza - BOVINO - Entraña V Mini Vacío Origen - Pieza; BOVINO - Plateada V Origen - Pieza - BOVINO - Plateada V Origen - Pieza; IMTO - IMTO,0.7000,Y,ING-0.5,wave2_review
OQ-03619,VENTA DE VACAS,,ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001107_115927515.xml,1107,,0.9500,Y,ING-0.2,2step_review
OQ-03620,VENTA DE VACAS,2 VACAS DESDE YUTRECO,ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001108_590291404.xml,1108,VENTA DE VACAS - 2 VACAS DESDE YUTRECO,0.9500,Y,ING-0.2,2step_review
OQ-03621,VENTA DE VACAS,DESDE EL MAITEN FMA 101610652,ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001116_127504253.xml,1116,VENTA DE VACAS - DESDE EL MAITEN FMA 101610652,0.9500,Y,ING-0.2,2step_review
OQ-03622,VENTA DE VACAS,40 VACAS NOTA VENTA 22559-A,ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI",VENTAS,DTE_033_000000001117_965202706.xml,1117,VENTA DE VACAS - 40 VACAS NOTA VENTA 22559-A,0.9500,Y,ING-0.2,2step_review
