input_id,item,provider,was,now,amount
COMPRAS|815376005|41278301|2,QUEQUE BROWNIE S AZUCAR NUTRABIEN 250 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2479.0
COMPRAS|815376005|41278301|3,GALLETA DELI NAVIDENA CAJA COSTA 200 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,3504.0
COMPRAS|815376005|41403234|1,GALLETAS AVENA PASAS NUTRABIEN 175 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2092.0
COMPRAS|815376005|41403234|2,GALLETAS AVENA CHOTE NUTRABIEN 175 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2092.0
COMPRAS|815376005|41403234|3,"GALLETA TRITON MCKAY 126 GR, VAINILLA",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,983.0
COMPRAS|815376005|41403234|4,GALLETA SANDWICH GULLON CHOCOLATE 250GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,3067.0
COMPRAS|815376005|41403234|6,QUEQUE BROWNIE S AZUCAR NUTRABIEN 250 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,4959.0
COMPRAS|815376005|41403234|7,GALLETA NIZA MCKAY 150 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,1160.0
COMPRAS|815376005|41403234|8,GALLETA MANTEQUILLA MCKAY 140 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,1345.0
COMPRAS|815376005|41403234|11,GALLETA OBLEA CHOCO DIET GULLON 180 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,3067.0
COMPRAS|815376005|41403234|12,GALL SANDWICH S GLUTEN CHOC GULLON 225GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,3521.0
COMPRAS|815376005|41403234|13,GALLETAS DE ARROZ CHOCOLATE MIZOS 20 GR.,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,992.0
COMPRAS|815376005|41403234|14,GALLETA MINI VINO COSTA 35 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,504.0
COMPRAS|815376005|41329900|1,"GALLETA FRAC COSTA 110 GR, CLASICA",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,630.0
COMPRAS|815376005|41329900|2,"GALLETA FRAC COSTA 110 GR, VAINILLA",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,630.0
COMPRAS|815376005|41329900|3,"GALLETA FRAC COSTA 110 GR, BI CAPUCCINO",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,630.0
COMPRAS|815376005|41329900|5,GALLETA BUTTER COOKIES COLOMBINA 250 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,1252.0
COMPRAS|815376005|41329900|7,QUEQUE MARMOL PREMIUN NUTRABIEN 250 GR,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2563.0
COMPRAS|815376005|41329900|8,GALLETAS RELLENA FRAMBUESA PULMAHUE 260G,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2429.0
COMPRAS|815376005|41329900|10,MAGDALENA CHIP CHOCOLATE PULMAHUE UN,RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,2311.0
COMPRAS|815376005|41573569|1,"GALLETA DONUTS COSTA 100 GR, BITTER",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,3361.0
COMPRAS|815376005|41573569|2,"GALLETA DONUTS COSTA 100 GR, BLANCO",RENDIC HERMANOS S.A.,ADM-1.6,EXP-1.1,1681.0
COMPRAS|761349414|77892205|1,GALLETA MANT,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,2092.0
COMPRAS|761349414|77892205|4,GALLETA TRIT,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,1328.0
COMPRAS|761349414|77892205|6,GALLETA LIMO,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,2092.0
COMPRAS|761349414|77892205|22,AZUCAR 1KG,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,EXP-10.3,EXP-1.1,2437.0
COMPRAS|761349414|77892205|23,GALLETA CHOC,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,1395.0
COMPRAS|773493200|604986|8,GALLETA COSTA MANTEQUILLA 140 GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,629.0
COMPRAS|773493200|604986|9,GALLETA COSTA LIMON 140 GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,1259.0
COMPRAS|773493200|604986|10,GALLETA GRETEL FRUTILLA 85 GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,1511.0
COMPRAS|773493200|604986|12,GALLETA TRITON VAINILLA 126 GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,1000.0
COMPRAS|773493200|604986|13,GALLETA TRITON NARANJA 126G,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,1000.0
COMPRAS|773493200|604986|14,GALLETA DONUTS ORANGE BITTER 100GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,2266.0
COMPRAS|773493200|604986|15,GALLETA MCKAY COCO 120 GRS,COMERCIAL AMAR HNOS. Y CIA. LTDA,ADM-1.6,EXP-1.1,1832.0
COMPRAS|773493200|604986|16,AZUCAR IANSA 1 KG,COMERCIAL AMAR HNOS. Y CIA. LTDA,EXP-7.0,EXP-1.1,2504.0
COMPRAS|81201000K|24168223|1,CERVEZA HEINEKEN X12 5.0G PAK 350CC,CENCOSUD RETAIL S.A.,ADM-1.6,EXP-1.1,23970.0
COMPRAS|81201000K|24168223|2,BEBIDA COCA COLA PET 3 LT,CENCOSUD RETAIL S.A.,EXP-2.2,EXP-1.1,9870.0
COMPRAS|81201000K|24168223|3,BEBIDA SPRITE 3 LTS,CENCOSUD RETAIL S.A.,EXP-7.0,EXP-1.1,6500.0
COMPRAS|81201000K|24168223|5,JUGO ANDINA FRUTILLA LIGHT PET 1.5L,CENCOSUD RETAIL S.A.,ADM-1.6,EXP-1.1,1345.0
COMPRAS|761349414|77987526|7,GALLETA CHOC,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,1395.0
COMPRAS|761349414|77987526|9,GALLETA MANT,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,697.0
COMPRAS|761349414|77987526|11,GALLETA NIK,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,429.0
COMPRAS|761349414|77987526|12,GALLETAS DON,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,ADM-1.6,EXP-1.1,966.0
